"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 27일","0.420","0.418","0.435","0.410","627.07K","1.45%"
"2022년 05월 26일","0.414","0.431","0.450","0.401","820.37K","0.98%"
"2022년 05월 25일","0.410","0.412","0.460","0.403","584.73K","-6.39%"
"2022년 05월 24일","0.438","0.470","0.480","0.413","775.63K","-11.32%"
"2022년 05월 23일","0.494","0.520","0.521","0.487","508.01K","-4.10%"
"2022년 05월 20일","0.515","0.600","0.600","0.490","475.32K","-7.14%"
"2022년 05월 19일","0.555","0.630","0.649","0.555","359.19K","-4.25%"
"2022년 05월 18일","0.579","0.650","0.677","0.532","457.45K","-12.14%"
"2022년 05월 17일","0.659","0.697","0.754","0.659","172.39K","-3.06%"
"2022년 05월 16일","0.680","0.777","0.850","0.680","240.29K","-7.91%"
"2022년 05월 13일","0.738","0.769","0.799","0.715","307.50K","13.64%"
"2022년 05월 12일","0.650","0.700","0.770","0.625","200.14K","-11.60%"
"2022년 05월 11일","0.735","0.880","0.880","0.735","124.93K","-10.27%"
"2022년 05월 10일","0.819","0.831","0.898","0.800","76.90K","-3.64%"
"2022년 05월 09일","0.850","0.930","0.937","0.814","194.93K","-12.22%"
"2022년 05월 06일","0.968","1.160","1.220","0.940","249.48K","-19.20%"
"2022년 05월 05일","1.198","1.210","1.283","1.172","81.83K","-3.35%"
"2022년 05월 04일","1.240","1.300","1.340","1.182","65.39K","-5.34%"
"2022년 05월 03일","1.310","1.290","1.390","1.290","16.80K","0.00%"
"2022년 05월 02일","1.310","1.360","1.440","1.285","55.58K","-3.68%"
"2022년 04월 29일","1.360","1.340","1.400","1.340","19.09K","2.26%"
