"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 24일","518.73","520.87","521.99","510.12","208.44K","-0.39%"
"2022년 05월 23일","520.75","529.83","529.83","516.33","159.28K","-0.28%"
"2022년 05월 20일","522.20","526.14","534.74","511.69","217.64K","-0.21%"
"2022년 05월 19일","523.32","500.04","527.06","500.04","237.45K","3.94%"
"2022년 05월 18일","503.49","505.78","510.00","498.42","212.72K","-2.11%"
"2022년 05월 17일","514.36","507.85","518.20","503.48","204.86K","3.06%"
"2022년 05월 16일","499.09","497.07","503.33","494.85","194.00K","-0.60%"
"2022년 05월 13일","502.11","490.92","505.83","490.76","162.69K","4.00%"
"2022년 05월 12일","482.81","468.86","487.52","468.86","291.92K","1.60%"
"2022년 05월 11일","475.22","486.50","493.19","474.21","270.69K","-3.05%"
"2022년 05월 10일","490.17","489.46","494.51","479.01","272.63K","2.32%"
"2022년 05월 09일","479.05","493.08","500.68","478.13","249.18K","-4.47%"
"2022년 05월 06일","501.46","500.00","505.46","489.75","279.04K","-1.18%"
"2022년 05월 05일","507.45","509.12","509.12","494.21","279.60K","-1.19%"
"2022년 05월 04일","513.58","497.13","516.15","485.96","239.91K","2.53%"
"2022년 05월 03일","500.93","501.71","513.59","498.88","257.43K","-0.10%"
"2022년 05월 02일","501.42","506.66","509.31","488.17","254.97K","-2.08%"
"2022년 04월 29일","512.06","535.99","539.00","511.58","399.98K","-0.20%"
"2022년 04월 28일","513.11","508.87","517.07","500.05","256.91K","2.43%"
"2022년 04월 27일","500.96","495.64","508.49","495.64","185.14K","1.51%"
"2022년 04월 26일","493.53","520.38","521.66","493.42","265.89K","-6.87%"
"2022년 04월 25일","529.95","528.19","530.99","514.72","181.33K","-0.81%"
