"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 27일","0.837","0.829","0.886","0.801","22.97K","2.06%"
"2022년 05월 26일","0.820","0.770","0.827","0.770","9.95K","-1.09%"
"2022년 05월 25일","0.829","0.807","0.840","0.780","9.76K","2.47%"
"2022년 05월 24일","0.809","0.807","0.822","0.780","6.46K","-1.78%"
"2022년 05월 23일","0.824","0.840","0.900","0.706","45.85K","0.45%"
"2022년 05월 20일","0.820","0.846","0.900","0.820","30.40K","-3.53%"
"2022년 05월 19일","0.850","0.850","0.880","0.791","26.84K","-0.44%"
"2022년 05월 18일","0.854","0.860","0.896","0.820","37.25K","0.45%"
"2022년 05월 17일","0.850","0.850","0.874","0.807","77.01K","3.66%"
"2022년 05월 16일","0.820","0.820","0.840","0.780","21.42K","0.00%"
"2022년 05월 13일","0.820","0.775","0.857","0.775","139.80K","5.52%"
"2022년 05월 12일","0.777","0.800","0.800","0.750","44.88K","-0.14%"
"2022년 05월 11일","0.778","0.826","0.826","0.778","35.04K","-3.19%"
"2022년 05월 10일","0.804","0.840","0.840","0.780","9.75K","0.59%"
"2022년 05월 09일","0.799","0.820","0.865","0.752","101.47K","-7.63%"
"2022년 05월 06일","0.865","0.873","0.916","0.840","20.02K","0.95%"
"2022년 05월 05일","0.857","0.827","0.860","0.801","60.01K","0.81%"
"2022년 05월 04일","0.850","0.830","0.870","0.821","56.69K","2.66%"
"2022년 05월 03일","0.828","0.909","0.909","0.825","123.35K","-9.46%"
"2022년 05월 02일","0.915","0.920","0.920","0.900","5.89K","0.26%"
"2022년 04월 29일","0.912","0.922","0.965","0.900","51.03K","-4.48%"
