"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 24일","106.95","106.72","107.72","105.31","481.80K","-0.64%"
"2022년 05월 23일","107.64","107.41","107.94","106.52","563.26K","0.65%"
"2022년 05월 20일","106.94","106.05","107.19","104.94","626.43K","1.31%"
"2022년 05월 19일","105.56","104.41","107.35","103.82","577.86K","0.69%"
"2022년 05월 18일","104.84","108.20","108.43","104.84","526.55K","-3.34%"
"2022년 05월 17일","108.46","109.27","110.48","108.06","528.18K","-0.75%"
"2022년 05월 16일","109.28","109.79","109.79","107.59","415.08K","-0.09%"
"2022년 05월 13일","109.38","105.98","109.73","105.98","581.07K","2.17%"
"2022년 05월 12일","107.06","108.11","108.67","104.43","813.30K","-1.35%"
"2022년 05월 11일","108.52","107.04","109.55","107.04","662.89K","0.26%"
"2022년 05월 10일","108.24","107.78","108.51","105.72","814.55K","0.98%"
"2022년 05월 09일","107.19","110.18","110.97","107.19","711.65K","-3.65%"
"2022년 05월 06일","111.25","110.71","111.94","108.64","603.89K","-0.04%"
"2022년 05월 05일","111.29","114.35","114.60","110.84","865.92K","-2.97%"
"2022년 05월 04일","114.70","112.88","114.81","111.22","845.15K","2.09%"
"2022년 05월 03일","112.35","112.93","113.54","111.83","945.02K","0.35%"
"2022년 05월 02일","111.96","113.49","113.49","109.50","1.07M","-0.90%"
"2022년 04월 29일","112.98","116.46","119.02","112.17","1.10M","-1.99%"
"2022년 04월 28일","115.27","116.18","117.08","114.34","740.95K","-0.16%"
"2022년 04월 27일","115.46","112.14","115.82","112.14","675.24K","3.50%"
"2022년 04월 26일","111.56","114.68","115.06","111.56","527.00K","-3.22%"
"2022년 04월 25일","115.27","114.31","116.13","112.60","569.59K","1.02%"
