"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 27일","49.80","49.50","49.89","49.25","175.30K","0.77%"
"2022년 05월 26일","49.42","49.38","49.92","49.08","206.10K","1.27%"
"2022년 05월 25일","48.80","48.80","49.64","48.46","282.75K","0.06%"
"2022년 05월 24일","48.77","49.00","49.03","47.62","309.07K","-0.47%"
"2022년 05월 23일","49.00","49.33","50.17","48.92","258.83K","0.82%"
"2022년 05월 20일","48.60","48.53","48.91","47.73","432.93K","0.85%"
"2022년 05월 19일","48.19","48.98","49.46","48.19","216.31K","-2.53%"
"2022년 05월 18일","49.44","49.70","50.09","49.16","202.95K","-1.71%"
"2022년 05월 17일","50.30","49.46","51.20","49.46","156.12K","3.22%"
"2022년 05월 16일","48.73","48.70","49.28","48.22","87.77K","-0.35%"
"2022년 05월 13일","48.90","49.61","49.84","48.51","80.53K","-0.97%"
"2022년 05월 12일","49.38","49.41","49.61","48.36","138.29K","0.43%"
"2022년 05월 11일","49.17","49.48","50.32","49.03","93.22K","-0.34%"
"2022년 05월 10일","49.34","50.50","51.03","48.55","131.93K","-1.44%"
"2022년 05월 09일","50.06","49.73","50.65","49.67","157.82K","-0.22%"
"2022년 05월 06일","50.17","50.44","50.44","49.15","144.47K","-0.46%"
"2022년 05월 05일","50.40","51.54","51.80","49.87","219.50K","-2.91%"
"2022년 05월 04일","51.91","50.66","52.07","50.58","145.16K","2.63%"
"2022년 05월 03일","50.58","50.71","51.18","49.98","173.42K","-0.02%"
"2022년 05월 02일","50.59","50.60","50.90","49.72","248.30K","0.48%"
"2022년 04월 29일","50.35","51.52","51.70","50.13","178.28K","-2.06%"
