"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 27일","26.30","26.85","27.22","26.13","22.55K","-1.79%"
"2022년 05월 26일","26.78","26.57","27.33","26.50","4.45K","1.40%"
"2022년 05월 25일","26.41","26.73","27.09","26.41","8.13K","0.08%"
"2022년 05월 24일","26.39","26.93","27.30","26.33","14.22K","-2.58%"
"2022년 05월 23일","27.09","27.50","27.76","26.88","21.95K","-1.24%"
"2022년 05월 20일","27.43","27.77","27.80","27.07","19.85K","-0.33%"
"2022년 05월 19일","27.52","27.67","27.92","27.34","4.49K","0.33%"
"2022년 05월 18일","27.43","27.64","28.06","27.33","2.12K","-2.11%"
"2022년 05월 17일","28.02","28.03","28.57","27.82","4.50K","1.16%"
"2022년 05월 16일","27.70","28.20","28.28","27.68","7.85K","-1.39%"
"2022년 05월 13일","28.09","27.25","28.51","27.00","21.53K","4.35%"
"2022년 05월 12일","26.92","27.57","27.58","26.45","18.46K","-1.43%"
"2022년 05월 11일","27.31","27.94","27.98","27.31","13.24K","-0.51%"
"2022년 05월 10일","27.45","28.28","28.51","27.45","12.26K","-2.00%"
"2022년 05월 09일","28.01","28.98","28.98","28.00","7.64K","-2.57%"
"2022년 05월 06일","28.75","28.30","28.75","28.14","7.03K","1.34%"
"2022년 05월 05일","28.37","28.72","28.72","28.21","12.77K","-2.48%"
"2022년 05월 04일","29.09","28.75","29.09","28.52","7.78K","2.03%"
"2022년 05월 03일","28.51","28.55","29.05","28.32","17.51K","0.56%"
"2022년 05월 02일","28.35","28.14","28.70","28.13","26.10K","-0.07%"
"2022년 04월 29일","28.37","28.67","28.86","28.21","11.41K","-0.04%"
