"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 27일","31.17","30.45","31.31","30.45","30.53K","3.08%"
"2022년 05월 26일","30.24","30.90","31.40","30.05","32.11K","-1.79%"
"2022년 05월 25일","30.79","29.40","30.98","29.40","92.19K","4.37%"
"2022년 05월 24일","29.50","29.45","29.99","28.46","160.96K","0.03%"
"2022년 05월 23일","29.49","30.00","30.05","29.24","31.50K","0.14%"
"2022년 05월 20일","29.45","30.69","30.73","29.35","41.28K","-3.09%"
"2022년 05월 19일","30.39","29.50","30.70","29.25","37.17K","2.36%"
"2022년 05월 18일","29.69","31.06","32.55","29.47","95.65K","-2.34%"
"2022년 05월 17일","30.40","30.25","30.74","30.14","21.07K","2.70%"
"2022년 05월 16일","29.60","29.42","29.95","28.59","28.62K","0.92%"
"2022년 05월 13일","29.33","29.33","30.17","29.18","51.17K","0.58%"
"2022년 05월 12일","29.16","28.79","31.84","28.79","114.64K","0.00%"
"2022년 05월 11일","29.16","28.15","29.98","28.14","70.46K","3.15%"
"2022년 05월 10일","28.27","27.10","28.48","27.10","37.02K","5.17%"
"2022년 05월 09일","26.88","26.59","27.59","26.05","37.16K","-0.37%"
"2022년 05월 06일","26.98","25.90","27.45","25.79","62.30K","4.65%"
"2022년 05월 05일","25.78","26.89","27.59","25.50","79.98K","-5.33%"
"2022년 05월 04일","27.23","24.94","27.55","24.94","89.17K","7.76%"
"2022년 05월 03일","25.27","26.90","26.90","25.12","91.77K","-6.75%"
"2022년 05월 02일","27.10","29.60","29.90","26.85","139.48K","-7.51%"
"2022년 04월 29일","29.30","31.80","31.80","26.59","226.64K","-17.07%"
