"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 27일","9.920","9.930","9.930","9.920","425.81K","0.05%"
"2022년 05월 25일","9.915","9.915","9.925","9.915","1.35K","0.05%"
"2022년 05월 24일","9.910","9.900","9.910","9.900","10.93K","0.10%"
"2022년 05월 23일","9.900","9.900","9.900","9.900","4.23K","-0.05%"
"2022년 05월 20일","9.905","9.905","9.905","9.900","6.01K","0.15%"
"2022년 05월 19일","9.890","9.890","9.890","9.885","10.89K","0.00%"
"2022년 05월 18일","9.890","9.895","9.900","9.880","33.18K","0.10%"
"2022년 05월 17일","9.880","9.881","9.881","9.880","2.22K","-0.20%"
"2022년 05월 16일","9.900","9.880","9.900","9.880","13.19K","-0.30%"
"2022년 05월 13일","9.930","9.910","9.930","9.880","50.74K","0.40%"
"2022년 05월 12일","9.890","9.900","9.900","9.890","11.71K","-0.10%"
"2022년 05월 11일","9.900","9.900","9.910","9.900","19.34K","0.00%"
"2022년 05월 10일","9.900","9.910","9.925","9.900","26.73K","-0.05%"
"2022년 05월 09일","9.905","9.920","9.920","9.900","34.09K","-0.05%"
"2022년 05월 06일","9.910","9.910","9.920","9.910","61.96K","-0.10%"
"2022년 05월 05일","9.920","9.920","9.920","9.920","-","-0.10%"
"2022년 05월 04일","9.930","9.910","9.930","9.910","10.03K","0.20%"
"2022년 05월 03일","9.910","9.910","9.920","9.910","12.18K","0.00%"
"2022년 05월 02일","9.910","9.925","9.925","9.910","132.86K","-0.10%"
"2022년 04월 29일","9.920","9.930","9.930","9.920","2.73K","-0.04%"
