"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 27일","16.11","16.03","16.24","15.72","22.03K","1.07%"
"2022년 05월 26일","15.94","15.90","16.08","15.73","10.37K","1.21%"
"2022년 05월 25일","15.75","15.74","15.97","15.74","8.75K","0.13%"
"2022년 05월 24일","15.73","15.69","15.95","15.52","14.06K","0.13%"
"2022년 05월 23일","15.71","15.76","15.92","15.63","11.66K","0.90%"
"2022년 05월 20일","15.57","15.77","15.77","15.43","21.82K","-1.08%"
"2022년 05월 19일","15.74","15.89","15.98","15.65","12.04K","-1.50%"
"2022년 05월 18일","15.98","16.00","16.14","15.70","21.97K","-0.50%"
"2022년 05월 17일","16.06","16.16","16.30","16.01","17.89K","0.88%"
"2022년 05월 16일","15.92","16.15","16.18","15.64","21.95K","0.82%"
"2022년 05월 13일","15.79","15.92","16.17","15.65","80.80K","1.09%"
"2022년 05월 12일","15.62","16.02","16.25","15.56","23.97K","-3.04%"
"2022년 05월 11일","16.11","15.97","16.33","15.92","8.79K","0.56%"
"2022년 05월 10일","16.02","16.48","16.48","15.99","18.85K","-1.11%"
"2022년 05월 09일","16.20","16.05","16.36","16.00","17.51K","0.62%"
"2022년 05월 06일","16.10","16.28","16.29","16.00","26.56K","-0.92%"
"2022년 05월 05일","16.25","16.69","16.69","16.15","17.67K","-2.34%"
"2022년 05월 04일","16.64","16.62","16.78","16.26","16.96K","0.30%"
"2022년 05월 03일","16.59","16.21","16.66","16.05","15.22K","1.84%"
"2022년 05월 02일","16.29","16.08","16.32","15.72","34.53K","1.31%"
"2022년 04월 29일","16.08","16.44","16.44","15.96","17.29K","-2.78%"
