"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 27일","25.34","25.55","25.55","25.34","4.56K","-0.88%"
"2022년 05월 26일","25.57","25.53","25.57","25.53","0.80K","0.12%"
"2022년 05월 25일","25.54","25.35","26.01","25.35","6.86K","0.67%"
"2022년 05월 24일","25.37","25.11","25.37","24.99","1.48K","0.48%"
"2022년 05월 23일","25.25","25.00","25.49","24.49","12.78K","2.48%"
"2022년 05월 20일","24.64","24.49","24.84","24.49","1.83K","0.57%"
"2022년 05월 19일","24.50","24.56","24.56","24.50","1.86K","0.86%"
"2022년 05월 18일","24.29","24.75","25.31","24.16","3.69K","-2.84%"
"2022년 05월 17일","25.00","24.70","25.00","24.70","1.17K","0.40%"
"2022년 05월 16일","24.90","24.65","25.35","24.65","3.51K","-0.40%"
"2022년 05월 13일","25.00","24.65","25.29","24.65","3.77K","-1.96%"
"2022년 05월 12일","25.50","24.89","25.50","24.40","4.23K","0.70%"
"2022년 05월 11일","25.32","25.07","25.32","24.67","2.21K","1.82%"
"2022년 05월 10일","24.87","24.86","25.15","24.73","2.46K","-0.08%"
"2022년 05월 09일","24.89","25.23","25.48","24.64","6.78K","-2.39%"
"2022년 05월 06일","25.50","25.06","25.50","24.52","9.92K","1.76%"
"2022년 05월 05일","25.06","25.60","25.60","25.06","3.02K","-2.49%"
"2022년 05월 04일","25.70","25.19","25.70","25.12","10.01K","1.90%"
"2022년 05월 03일","25.22","25.17","25.22","25.08","2.25K","0.32%"
"2022년 05월 02일","25.14","25.32","25.46","25.14","3.84K","-1.60%"
