"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 27일","1.960","1.940","2.040","1.930","13.88K","0.51%"
"2022년 05월 26일","1.950","1.750","2.040","1.750","32.07K","9.55%"
"2022년 05월 25일","1.780","1.860","1.990","1.780","75.27K","-7.29%"
"2022년 05월 24일","1.920","2.026","2.026","1.880","37.24K","-7.69%"
"2022년 05월 23일","2.080","2.090","2.205","2.020","41.97K","-1.42%"
"2022년 05월 20일","2.110","1.998","2.140","1.910","46.23K","0.48%"
"2022년 05월 19일","2.100","2.230","2.230","2.060","35.98K","2.44%"
"2022년 05월 18일","2.050","2.070","2.220","2.050","22.65K","-3.30%"
"2022년 05월 17일","2.120","2.110","2.230","2.000","40.49K","0.47%"
"2022년 05월 16일","2.110","2.162","2.250","2.100","36.53K","-5.80%"
"2022년 05월 13일","2.240","1.980","2.320","1.980","86.81K","12.00%"
"2022년 05월 12일","2.000","1.970","2.169","1.950","19.94K","-0.50%"
"2022년 05월 11일","2.010","1.940","2.100","1.940","42.71K","2.55%"
"2022년 05월 10일","1.960","1.790","2.000","1.790","47.39K","9.50%"
"2022년 05월 09일","1.790","1.790","1.830","1.650","43.56K","7.83%"
"2022년 05월 06일","1.660","1.690","1.691","1.650","26.24K","-3.49%"
"2022년 05월 05일","1.720","1.770","1.870","1.680","14.59K","-7.53%"
"2022년 05월 04일","1.860","1.920","1.925","1.790","20.85K","3.34%"
"2022년 05월 03일","1.800","1.780","1.850","1.780","23.88K","4.05%"
"2022년 05월 02일","1.730","1.760","1.780","1.725","70.79K","-0.57%"
"2022년 04월 29일","1.740","1.710","1.840","1.700","32.00K","-6.95%"
