Date,Open,Close,High,Low,Volume
2022-04-29,49.88,48.74,50.63,48.6,159.80K
2022-05-02,48.77,49.5,50.19,48.16,189.76K
2022-05-03,49.43,48.59,49.52,48.21,139.18K
2022-05-04,48.89,50.06,50.09,47.74,177.49K
2022-05-05,49.37,47.93,49.69,47.5,164.41K
2022-05-06,52.72,52.11,52.72,49.85,443.40K
2022-05-09,51.29,54.01,54.58,49.0,335.96K
2022-05-10,54.7,53.17,54.87,51.05,543.28K
2022-05-11,52.81,50.2,52.96,49.93,263.63K
2022-05-12,50.55,53.01,53.09,49.52,204.99K
2022-05-13,53.25,53.37,54.24,52.69,361.70K
2022-05-16,53.03,51.0,53.04,49.82,176.31K
2022-05-17,51.89,51.85,52.25,51.34,238.33K
2022-05-18,50.76,50.08,51.31,49.58,249.12K
2022-05-19,49.68,50.19,50.89,49.36,180.05K
2022-05-20,51.01,51.57,51.58,49.58,314.36K
2022-05-23,52.16,51.31,52.68,49.89,202.19K
2022-05-24,50.93,50.99,51.2,49.14,349.03K
2022-05-25,51.21,51.8,52.39,50.92,121.24K
2022-05-26,52.18,52.74,52.94,51.35,225.47K
2022-05-27,53.13,53.11,53.94,52.71,116.58K
