Date,Open,Close,High,Low,Volume
2022-04-29,6.15,6.06,6.24,5.901,15.55K
2022-05-02,6.01,6.1,6.19,6.01,13.52K
2022-05-03,6.25,6.07,6.25,6.03,11.58K
2022-05-04,6.1,6.04,6.17,5.88,8.74K
2022-05-05,6.06,6.0,6.085,5.96,10.71K
2022-05-06,6.04,6.05,6.05,5.82,28.20K
2022-05-09,6.107,6.07,6.107,5.92,21.98K
2022-05-10,5.97,6.0,6.07,5.805,73.77K
2022-05-11,6.09,6.0,6.11,5.89,35.85K
2022-05-12,5.95,5.95,6.02,5.94,12.93K
2022-05-13,5.94,6.0,6.095,5.94,8.54K
2022-05-16,5.94,5.94,6.1,5.93,45.78K
2022-05-17,6.06,5.97,6.08,5.95,31.69K
2022-05-18,6.014,6.1,6.15,5.907,12.71K
2022-05-19,6.14,6.04,6.22,6.02,8.89K
2022-05-20,6.11,6.13,6.15,5.97,10.59K
2022-05-23,6.07,5.95,6.1,5.92,28.29K
2022-05-24,5.875,5.99,6.02,5.796,47.74K
2022-05-25,6.04,5.94,6.04,5.93,88.33K
2022-05-26,6.2,6.0,6.2,5.92,39.82K
2022-05-27,5.95,6.1,6.19,5.95,21.70K
