Date,Open,Close,High,Low,Volume
2022-04-29,14.92,14.47,15.14,14.43,1.00M
2022-05-02,14.47,15.16,15.19,14.42,699.89K
2022-05-03,15.16,15.88,16.13,14.88,1.10M
2022-05-04,14.5,15.01,15.2,14.26,2.39M
2022-05-05,14.86,14.68,14.89,14.01,1.27M
2022-05-06,14.47,14.23,14.69,14.03,671.72K
2022-05-09,13.85,13.52,14.0,13.27,1.37M
2022-05-10,13.72,13.39,13.9,13.07,835.39K
2022-05-11,13.34,13.02,13.89,12.93,1.07M
2022-05-12,12.73,13.25,13.69,12.73,801.31K
2022-05-13,13.4,13.6,13.94,13.33,560.74K
2022-05-16,13.55,13.22,13.74,13.18,572.76K
2022-05-17,13.53,13.49,13.7,13.03,670.19K
2022-05-18,13.01,12.19,13.02,11.95,1.40M
2022-05-19,11.92,12.07,12.39,11.9,684.86K
2022-05-20,12.11,12.13,12.19,11.47,1.00M
2022-05-23,12.15,12.08,12.2,11.63,745.36K
2022-05-24,11.95,11.81,11.95,11.43,772.95K
2022-05-25,11.38,12.79,13.08,11.16,1.48M
2022-05-26,13.01,13.18,13.61,13.0,928.66K
2022-05-27,13.25,13.35,13.76,13.14,934.74K
