Date,Open,Close,High,Low,Volume
2022-04-13,56.77,56.77,56.8,56.76,362.85K
2022-04-14,56.8,56.81,56.85,56.75,357.52K
2022-04-18,56.61,56.8,56.86,56.61,466.59K
2022-04-19,56.79,56.75,56.92,56.74,722.29K
2022-04-20,56.82,56.73,56.85,56.73,530.11K
2022-04-21,56.79,56.8,56.84,56.76,529.82K
2022-04-22,56.78,56.74,56.8,56.71,379.39K
2022-04-25,56.74,56.8,56.82,56.72,495.02K
2022-04-26,56.75,56.67,56.79,56.67,1.53M
2022-04-27,56.7,56.67,56.74,56.62,894.17K
2022-04-28,56.66,56.68,56.7,56.65,425.04K
2022-04-29,56.65,56.62,56.7,56.62,543.31K
2022-05-02,56.62,56.77,56.82,56.57,668.37K
2022-05-03,56.68,56.58,56.72,56.57,415.64K
2022-05-04,56.65,56.62,56.69,56.58,433.59K
2022-05-05,56.63,56.55,56.67,56.53,1.80M
2022-05-06,56.57,56.58,56.65,56.5,570.43K
2022-05-09,56.43,56.28,56.55,56.25,1.27M
2022-05-10,56.35,56.5,56.54,56.35,1.10M
2022-05-11,56.41,56.5,56.58,56.41,453.53K
2022-05-12,56.92,56.99,56.99,56.92,5.04M
