Date,Open,Close,High,Low,Volume
2022-04-29,6.75,7.18,7.38,6.7,462.98K
2022-05-02,7.15,7.2,7.24,6.98,239.83K
2022-05-03,7.21,7.21,7.27,7.01,150.83K
2022-05-04,7.27,7.52,7.64,7.11,198.48K
2022-05-05,7.39,7.32,7.55,6.95,302.25K
2022-05-06,7.26,7.18,7.36,6.99,211.15K
2022-05-09,7.06,6.96,7.23,6.93,230.31K
2022-05-10,7.03,6.95,7.05,6.8,211.81K
2022-05-11,6.99,6.59,7.19,6.58,188.09K
2022-05-12,6.46,6.42,6.68,6.21,320.70K
2022-05-13,6.47,6.61,6.78,6.47,180.76K
2022-05-16,6.56,6.45,6.68,6.34,218.33K
2022-05-17,6.62,6.91,6.95,6.62,266.55K
2022-05-18,6.88,6.5,6.94,6.47,174.28K
2022-05-19,6.43,6.41,6.54,6.39,116.00K
2022-05-20,6.5,6.21,6.5,6.07,163.45K
2022-05-23,6.2,6.19,6.36,6.16,146.69K
2022-05-24,6.1,6.13,6.2,6.0,137.47K
2022-05-25,6.11,6.3,6.36,6.03,84.48K
2022-05-26,6.33,6.54,6.62,6.33,83.27K
2022-05-27,6.61,6.72,6.74,6.61,69.20K
