Date,Open,Close,High,Low,Volume
2022-04-29,17.25,17.14,17.36,17.04,46.05K
2022-05-02,17.01,17.01,17.17,16.95,64.58K
2022-05-03,17.1,16.94,17.13,16.88,54.09K
2022-05-04,16.97,17.0,17.04,16.81,47.73K
2022-05-05,16.94,16.7,16.94,16.6,38.85K
2022-05-06,16.61,16.64,16.73,16.55,28.39K
2022-05-09,16.63,16.53,16.67,16.34,53.97K
2022-05-10,16.7,16.3,16.74,16.19,68.03K
2022-05-11,16.32,16.31,16.38,16.2,59.29K
2022-05-12,16.32,16.29,16.43,16.11,56.87K
2022-05-13,16.31,16.34,16.39,16.16,50.73K
2022-05-16,16.24,16.3,16.39,16.21,77.91K
2022-05-17,16.55,16.48,16.55,16.36,81.76K
2022-05-18,16.5,16.26,16.55,16.18,39.95K
2022-05-19,16.29,16.17,16.41,16.1,60.18K
2022-05-20,16.21,16.0,16.25,15.94,87.15K
2022-05-23,16.16,16.15,16.18,16.06,49.65K
2022-05-24,16.17,16.19,16.26,15.98,98.37K
2022-05-25,16.27,16.32,16.42,16.11,118.21K
2022-05-26,16.35,16.45,16.56,16.35,80.60K
2022-05-27,16.53,16.65,16.7,16.5,72.22K
