Date,Open,Close,High,Low,Volume
2022-04-29,36.02,35.45,36.49,35.39,189.44K
2022-05-02,35.73,35.89,36.58,35.07,94.81K
2022-05-03,35.81,36.17,36.62,35.33,86.79K
2022-05-04,36.51,37.35,37.38,34.7,143.89K
2022-05-05,36.97,35.35,37.16,34.87,162.53K
2022-05-06,35.27,34.84,35.92,34.35,84.98K
2022-05-09,34.21,34.43,35.81,33.85,125.63K
2022-05-10,34.95,33.85,35.35,33.23,86.19K
2022-05-11,33.76,33.09,34.72,32.83,85.92K
2022-05-12,33.21,33.4,33.47,32.46,111.38K
2022-05-13,33.9,33.31,34.05,33.12,120.16K
2022-05-16,33.31,33.03,33.6,32.64,122.37K
2022-05-17,33.75,34.51,34.81,33.38,231.00K
2022-05-18,33.95,33.46,34.85,33.13,123.66K
2022-05-19,33.19,34.04,34.53,33.19,179.95K
2022-05-20,34.29,32.81,34.29,32.34,115.12K
2022-05-23,33.36,33.03,33.37,32.79,141.89K
2022-05-24,32.91,32.91,33.62,31.77,210.14K
2022-05-25,32.22,31.68,33.92,31.49,381.21K
2022-05-26,30.9,30.45,31.76,30.13,385.38K
2022-05-27,30.84,33.67,34.5,30.84,315.14K
