Date,Open,Close,High,Low,Volume
2022-05-02,4.45,4.5,4.55,4.45,4.84K
2022-05-03,4.54,4.65,4.65,4.481,2.02K
2022-05-04,4.715,4.69,4.753,4.6,5.23K
2022-05-05,4.67,4.7,4.7,4.63,0.51K
2022-05-06,4.65,4.43,4.8,4.425,8.65K
2022-05-09,4.48,4.36,4.48,4.36,10.69K
2022-05-10,4.45,4.37,4.45,4.37,2.10K
2022-05-11,4.405,4.03,4.405,4.01,14.26K
2022-05-12,4.027,4.04,4.148,3.86,11.79K
2022-05-13,4.104,4.02,4.12,3.963,5.61K
2022-05-16,4.13,4.097,4.15,4.097,5.74K
2022-05-17,4.77,4.45,4.79,4.321,15.05K
2022-05-18,4.66,4.401,4.66,4.4,2.77K
2022-05-19,4.512,4.43,4.512,4.4,0.65K
2022-05-20,4.41,4.28,4.41,4.25,3.13K
2022-05-23,4.18,4.351,4.379,4.158,6.21K
2022-05-24,4.16,4.37,4.4,4.13,3.36K
2022-05-25,4.27,4.53,4.55,4.27,2.76K
2022-05-26,4.72,4.79,4.82,4.65,3.15K
2022-05-27,4.673,4.9,4.9,4.653,2.82K
