Date,Open,Close,High,Low,Volume
2022-04-25,69.71,69.4,69.8,66.8,1.65M
2022-04-26,68.75,65.02,68.82,64.7,1.51M
2022-04-27,65.45,66.58,68.36,65.13,1.45M
2022-04-28,68.1,67.82,68.92,65.35,1.55M
2022-04-29,67.83,66.43,71.01,66.28,1.37M
2022-05-02,66.75,70.96,71.1,65.99,1.58M
2022-05-03,70.5,70.44,71.03,68.41,1.12M
2022-05-04,70.86,72.21,72.4,67.4,1.91M
2022-05-05,75.0,65.63,75.5,64.81,4.71M
2022-05-06,65.02,60.87,65.6,59.57,3.17M
2022-05-09,59.3,54.22,59.89,54.06,3.13M
2022-05-10,56.8,54.2,56.81,51.26,2.79M
2022-05-11,55.78,52.35,56.86,52.24,2.33M
2022-05-12,51.46,56.05,57.06,51.44,2.82M
2022-05-13,57.49,58.34,60.51,57.2,2.05M
2022-05-16,57.54,56.48,58.52,56.03,1.39M
2022-05-17,58.06,57.22,58.85,55.11,1.59M
2022-05-18,56.32,55.24,59.37,54.35,2.24M
2022-05-19,54.2,54.28,55.5,52.87,2.06M
2022-05-20,55.77,54.01,55.85,51.54,2.04M
