Date,Open,Close,High,Low,Volume
2022-04-29,41.5,42.41,44.15,41.5,76.06K
2022-05-02,42.33,44.54,45.0,42.25,83.86K
2022-05-03,44.84,45.3,46.78,44.07,107.03K
2022-05-04,45.79,45.4,46.49,44.12,166.27K
2022-05-05,45.3,44.52,45.3,43.72,91.38K
2022-05-06,44.27,42.45,45.3,42.39,101.49K
2022-05-09,42.24,40.4,42.75,39.87,99.45K
2022-05-10,40.82,40.13,41.64,38.82,99.82K
2022-05-11,40.24,40.77,41.84,39.24,66.96K
2022-05-12,40.14,42.03,42.63,40.11,66.64K
2022-05-13,42.26,42.9,44.0,42.26,64.53K
2022-05-16,42.42,42.19,43.88,41.97,49.77K
2022-05-17,42.74,44.1,44.68,42.72,48.26K
2022-05-18,44.02,43.2,45.38,42.62,35.13K
2022-05-19,42.69,42.9,44.31,42.62,30.68K
2022-05-20,43.42,42.25,43.81,40.48,53.67K
2022-05-23,41.84,42.12,43.58,41.84,56.46K
2022-05-24,41.32,39.42,41.32,39.12,45.15K
2022-05-25,39.79,41.2,41.33,39.63,54.82K
2022-05-26,40.68,42.31,42.85,40.68,36.28K
2022-05-27,42.86,44.12,44.41,42.73,37.44K
