Date,Open,Close,High,Low,Volume
2022-04-29,13.11,12.82,13.32,12.79,423.39K
2022-05-02,12.87,13.27,13.28,12.87,444.81K
2022-05-03,13.23,13.12,13.33,12.85,589.62K
2022-05-04,12.83,11.31,12.86,10.87,1.97M
2022-05-05,11.32,10.78,11.32,10.49,1.05M
2022-05-06,10.78,10.77,11.06,10.62,849.24K
2022-05-09,10.54,10.11,10.78,10.07,710.31K
2022-05-10,10.31,10.15,10.44,9.87,808.37K
2022-05-11,10.08,9.81,10.26,9.78,683.34K
2022-05-12,9.78,10.12,10.3,9.77,679.86K
2022-05-13,10.16,10.34,10.44,10.16,668.62K
2022-05-16,10.26,9.86,10.34,9.82,608.54K
2022-05-17,10.11,10.18,10.22,9.94,441.12K
2022-05-18,10.05,9.87,10.13,9.78,841.28K
2022-05-19,9.78,9.77,9.98,9.75,961.45K
2022-05-20,9.82,9.64,9.84,9.44,1.20M
2022-05-23,9.69,9.65,9.73,9.38,1.18M
2022-05-24,9.56,9.5,9.59,9.35,1.01M
2022-05-25,9.51,9.9,10.01,9.38,1.45M
2022-05-26,9.97,10.1,10.38,9.97,993.65K
2022-05-27,10.18,10.43,10.7,10.15,848.93K
