Date,Open,Close,High,Low,Volume
2022-04-29,73.28,71.3,74.82,71.12,866.78K
2022-05-02,72.23,73.33,73.35,71.48,1.14M
2022-05-03,73.62,74.42,75.3,73.16,987.82K
2022-05-04,73.69,77.0,77.05,73.41,747.32K
2022-05-05,76.14,74.32,76.14,72.83,1.22M
2022-05-06,74.38,73.16,74.77,72.62,1.48M
2022-05-09,72.05,71.49,72.84,71.23,1.31M
2022-05-10,72.25,71.49,73.41,69.93,1.11M
2022-05-11,71.26,69.79,73.47,69.6,901.58K
2022-05-12,69.23,70.07,71.29,68.24,1.00M
2022-05-13,70.95,71.14,72.23,70.27,691.56K
2022-05-16,70.96,71.24,71.73,69.68,1.04M
2022-05-17,73.05,73.9,73.97,72.49,805.85K
2022-05-18,72.49,69.88,73.04,69.65,866.55K
2022-05-19,68.92,68.36,69.94,68.11,1.02M
2022-05-20,69.14,68.9,69.6,67.02,589.20K
2022-05-23,70.84,70.82,71.86,69.96,1.03M
2022-05-24,70.07,69.08,70.36,67.8,445.76K
2022-05-25,68.81,70.61,70.85,68.55,968.16K
2022-05-26,71.22,72.45,72.82,71.22,967.06K
2022-05-27,72.28,73.44,73.46,71.74,879.07K
