Date,Open,Close,High,Low,Volume
2022-04-29,38.64,37.46,39.11,37.4,157.89K
2022-05-02,37.5,37.64,38.34,36.8,250.20K
2022-05-03,37.5,37.66,37.98,37.03,181.88K
2022-05-04,37.88,38.55,38.71,37.54,167.61K
2022-05-05,38.14,37.98,38.14,37.25,180.71K
2022-05-06,38.14,37.41,38.14,37.0,146.30K
2022-05-09,36.9,37.46,37.78,36.9,161.05K
2022-05-10,37.69,36.84,38.11,36.41,142.31K
2022-05-11,37.04,36.57,37.66,36.52,91.71K
2022-05-12,36.49,36.48,36.61,35.71,108.99K
2022-05-13,36.77,36.26,36.9,36.21,90.66K
2022-05-16,36.17,36.07,36.45,35.5,161.91K
2022-05-17,36.77,37.4,37.48,36.76,103.01K
2022-05-18,36.82,36.63,38.75,36.24,204.96K
2022-05-19,36.23,36.02,36.71,36.02,199.51K
2022-05-20,36.3,36.44,36.5,35.85,131.79K
2022-05-23,37.11,36.62,37.28,36.41,131.65K
2022-05-24,36.38,36.65,36.8,35.66,104.06K
2022-05-25,36.68,36.76,37.75,36.08,89.20K
2022-05-26,37.01,37.05,37.78,36.46,69.64K
2022-05-27,37.17,37.75,37.81,36.19,75.34K
