Date,Open,Close,High,Low,Volume
2022-04-25,95.39,96.85,96.91,94.11,808.14K
2022-04-26,95.44,92.61,96.5,92.6,668.70K
2022-04-27,92.91,91.4,95.19,90.51,502.34K
2022-04-28,93.41,95.14,95.98,91.64,628.55K
2022-04-29,95.08,94.48,98.41,94.24,749.44K
2022-05-02,94.23,99.15,99.18,94.17,953.68K
2022-05-03,105.0,106.82,117.22,104.47,2.08M
2022-05-04,108.2,109.77,110.21,104.75,936.79K
2022-05-05,107.68,104.24,109.41,102.93,595.11K
2022-05-06,102.91,101.0,103.37,100.07,658.99K
2022-05-09,99.41,100.78,101.75,98.37,703.68K
2022-05-10,102.46,98.03,102.77,96.05,608.96K
2022-05-11,97.97,94.34,100.03,94.07,494.30K
2022-05-12,93.58,96.76,97.82,92.92,650.46K
2022-05-13,96.71,98.4,99.86,96.39,698.92K
2022-05-16,97.57,96.72,98.8,96.41,581.24K
2022-05-17,98.97,102.32,102.85,98.97,492.83K
2022-05-18,100.63,99.98,102.49,99.48,522.90K
2022-05-19,98.46,98.35,100.08,97.76,710.30K
2022-05-20,100.44,100.09,100.46,97.19,806.54K
2022-05-23,101.18,99.09,101.18,96.48,591.64K
2022-05-24,98.89,95.02,98.99,93.66,414.21K
