Date,Open,Close,High,Low,Volume
2022-04-29,7.96,8.22,8.49,7.86,71.78K
2022-05-02,8.12,8.03,8.39,8.0,46.48K
2022-05-03,8.03,8.34,8.4,8.02,20.13K
2022-05-04,8.19,8.53,8.61,8.08,41.53K
2022-05-05,8.13,8.2,8.373,8.01,21.77K
2022-05-06,8.11,8.02,8.121,7.91,12.06K
2022-05-09,8.01,7.41,8.01,7.4,40.19K
2022-05-10,7.56,7.78,7.89,7.52,25.93K
2022-05-11,7.59,7.37,7.89,7.37,15.74K
2022-05-12,7.35,7.34,7.447,7.01,23.64K
2022-05-13,7.34,7.23,7.44,7.15,24.48K
2022-05-16,7.11,7.24,7.5,7.02,14.49K
2022-05-17,7.5,7.5,7.61,7.27,10.67K
2022-05-18,7.22,6.91,7.703,6.9,34.23K
2022-05-19,6.91,6.94,6.99,6.75,8.60K
2022-05-20,6.93,6.98,7.02,6.79,6.63K
2022-05-23,6.82,7.02,7.03,6.812,18.82K
2022-05-24,6.87,6.9,7.07,6.824,3.47K
2022-05-25,6.9,7.76,8.0,6.77,105.25K
2022-05-26,8.02,9.43,10.45,7.65,1.32M
2022-05-27,9.94,10.3,10.88,9.5,457.23K
