Date,Open,Close,High,Low,Volume
2022-04-28,39.0,40.0,41.0,39.0,0.58K
2022-04-29,39.5,40.73,40.73,39.5,0.25K
2022-05-02,40.0,40.0,40.0,40.0,0.48K
2022-05-03,39.43,39.99,39.99,39.43,0.21K
2022-05-04,39.8,41.59,43.0,39.8,4.84K
2022-05-05,39.0,39.0,39.0,39.0,0.10K
2022-05-06,40.5,42.05,42.22,40.5,1.48K
2022-05-09,40.75,42.0,42.0,40.75,0.57K
2022-05-10,40.0,40.0,40.0,40.0,0.45K
2022-05-12,40.0,40.0,40.0,39.5,1.06K
2022-05-13,41.4,41.4,41.4,41.4,0.33K
2022-05-18,42.0,42.0,42.0,42.0,0.33K
2022-05-19,42.0,42.36,42.82,41.0,2.25K
2022-05-20,41.15,41.15,41.15,41.15,0.14K
2022-05-23,42.14,41.94,42.14,41.9,1.27K
2022-05-27,41.54,41.0,42.0,41.0,1.14K
