Date,Open,Close,High,Low,Volume
2022-04-29,11.99,11.86,12.2,11.79,453.88K
2022-05-02,11.84,11.84,11.95,11.65,529.80K
2022-05-03,11.68,11.76,11.89,11.52,354.72K
2022-05-04,11.73,11.91,11.95,11.7,427.36K
2022-05-05,12.0,11.97,12.02,11.78,520.09K
2022-05-06,12.0,11.96,12.22,11.82,435.27K
2022-05-09,11.85,11.97,12.02,11.81,450.92K
2022-05-10,11.91,11.69,12.01,11.65,662.02K
2022-05-11,11.73,11.76,11.88,11.66,316.23K
2022-05-12,11.73,11.8,11.85,11.59,388.02K
2022-05-13,11.86,11.75,11.86,11.7,318.70K
2022-05-16,11.76,11.75,11.94,11.65,292.79K
2022-05-17,11.84,12.0,12.06,11.84,304.03K
2022-05-18,11.93,11.97,12.0,11.86,275.12K
2022-05-19,11.85,11.85,11.99,11.84,346.88K
2022-05-20,11.94,11.91,12.03,11.74,404.70K
2022-05-23,12.05,12.07,12.2,12.0,458.54K
2022-05-24,12.07,12.09,12.15,11.89,326.02K
2022-05-25,12.12,12.15,12.3,12.06,372.95K
2022-05-26,12.23,12.34,12.43,12.21,348.86K
2022-05-27,12.3,12.4,12.49,12.3,259.62K
