Date,Open,Close,High,Low,Volume
2022-04-29,5.02,5.26,5.555,4.97,325.54K
2022-05-02,5.28,5.53,5.55,5.215,285.30K
2022-05-03,5.47,5.41,5.8,5.36,390.00K
2022-05-04,5.47,5.73,5.74,5.27,317.71K
2022-05-05,5.73,5.67,5.874,5.41,176.78K
2022-05-06,5.64,5.57,5.64,5.28,129.42K
2022-05-09,5.43,5.57,5.61,5.27,319.10K
2022-05-10,5.66,5.23,5.66,5.2,167.99K
2022-05-11,5.21,5.01,5.32,5.01,69.32K
2022-05-12,4.94,5.25,5.38,4.83,208.04K
2022-05-13,5.26,5.71,5.71,5.26,117.50K
2022-05-16,5.66,5.72,5.78,5.436,98.24K
2022-05-17,5.8,6.05,6.07,5.71,134.23K
2022-05-18,6.02,5.72,6.02,5.58,213.38K
2022-05-19,5.64,5.79,5.88,5.628,73.32K
2022-05-20,5.38,5.86,5.87,5.38,260.52K
2022-05-23,5.95,5.59,5.95,5.59,81.75K
2022-05-24,5.52,5.26,5.52,5.17,333.37K
2022-05-25,5.19,5.27,5.44,5.18,136.20K
2022-05-26,5.33,5.56,5.61,5.33,196.97K
2022-05-27,5.59,5.53,5.67,5.53,55.13K
