Date,Open,Close,High,Low,Volume
2022-04-29,12.83,12.62,12.83,12.62,1.55K
2022-05-02,13.44,13.045,13.44,12.7,8.95K
2022-05-03,12.66,12.895,13.35,12.66,4.88K
2022-05-04,12.79,13.0,13.25,12.78,6.27K
2022-05-05,12.75,13.15,13.15,12.17,6.43K
2022-05-06,12.92,12.59,13.18,12.29,7.70K
2022-05-09,12.67,12.32,12.85,12.32,5.43K
2022-05-10,12.799,12.34,13.25,11.42,17.58K
2022-05-11,12.5,13.19,13.5,11.571,5.24K
2022-05-12,13.23,12.286,13.23,12.25,6.33K
2022-05-13,12.43,11.95,12.545,11.783,7.58K
2022-05-16,11.87,11.94,12.53,11.68,4.39K
2022-05-17,11.78,12.0,12.1,11.78,2.71K
2022-05-18,11.9,11.7,12.0,11.7,3.51K
2022-05-19,11.158,11.496,11.9,10.94,3.97K
2022-05-20,11.102,10.87,11.102,10.6,2.22K
2022-05-23,10.93,11.1,11.16,10.93,2.64K
2022-05-24,11.53,11.7,11.895,11.16,5.59K
2022-05-25,12.19,11.55,12.19,11.28,7.46K
2022-05-26,11.653,11.575,11.653,11.3,1.63K
2022-05-27,11.225,11.75,11.75,11.225,1.86K
