Date,Open,Close,High,Low,Volume
2022-04-29,59.61,57.96,59.61,57.76,157.50K
2022-05-02,58.16,58.86,59.47,57.59,280.82K
2022-05-03,60.84,60.89,62.17,60.13,194.38K
2022-05-04,60.98,63.38,63.76,60.98,140.89K
2022-05-05,63.24,62.59,63.36,61.88,136.45K
2022-05-06,62.72,62.32,63.04,61.38,139.03K
2022-05-09,62.03,63.16,63.56,61.66,149.50K
2022-05-10,63.32,62.3,64.26,61.56,146.14K
2022-05-11,62.54,62.58,63.59,62.23,165.62K
2022-05-12,62.44,61.59,62.65,60.24,162.25K
2022-05-13,61.74,62.56,63.1,61.22,146.05K
2022-05-16,62.52,62.67,62.99,62.31,104.67K
2022-05-17,63.0,63.64,63.96,62.3,106.12K
2022-05-18,63.96,64.27,66.72,63.86,192.08K
2022-05-19,63.95,62.93,64.2,62.13,249.82K
2022-05-20,63.34,63.26,63.59,62.06,160.22K
2022-05-23,63.94,63.34,64.25,62.95,92.96K
2022-05-24,63.54,63.67,63.75,61.83,179.45K
2022-05-25,63.66,64.38,64.47,63.29,186.15K
2022-05-26,64.82,64.52,65.01,64.09,83.13K
2022-05-27,64.52,65.37,65.41,64.29,66.32K
