Date,Open,Close,High,Low,Volume
2022-04-29,76.1,76.59,78.22,73.26,974.45K
2022-05-02,75.45,74.47,77.55,73.71,483.95K
2022-05-03,74.21,72.82,74.88,72.43,364.80K
2022-05-04,72.07,75.79,75.88,70.18,523.19K
2022-05-05,74.24,70.19,74.57,69.54,298.40K
2022-05-06,69.27,68.54,70.12,66.45,424.96K
2022-05-09,67.06,65.93,67.97,65.35,350.36K
2022-05-10,66.56,52.25,67.31,36.5,6.24M
2022-05-11,50.11,48.07,51.74,47.47,1.84M
2022-05-12,46.0,52.73,52.81,46.0,1.50M
2022-05-13,53.67,53.34,54.96,52.7,794.23K
2022-05-16,52.8,50.42,53.44,50.33,799.42K
2022-05-17,51.6,49.9,52.56,49.51,645.61K
2022-05-18,48.91,46.98,49.56,46.68,601.78K
2022-05-19,46.96,48.77,49.87,46.19,758.85K
2022-05-20,49.66,48.48,50.04,47.65,512.27K
2022-05-23,48.37,48.53,49.27,46.95,385.17K
2022-05-24,47.46,46.54,47.61,46.01,303.38K
2022-05-25,46.99,47.79,48.11,46.21,437.40K
2022-05-26,47.64,47.7,48.58,46.07,412.69K
2022-05-27,48.04,50.45,50.55,48.04,497.66K
