Date,Open,Close,High,Low,Volume
2022-04-29,1.35,1.29,1.398,1.265,49.57K
2022-05-02,1.26,1.31,1.35,1.26,26.00K
2022-05-03,1.35,1.37,1.4,1.32,45.10K
2022-05-04,1.33,1.4,1.42,1.32,21.44K
2022-05-05,1.36,1.34,1.41,1.31,43.04K
2022-05-06,1.369,1.24,1.37,1.21,237.21K
2022-05-09,1.2,1.13,1.31,1.13,170.14K
2022-05-10,1.285,1.16,1.285,1.1,105.05K
2022-05-11,1.17,1.08,1.17,1.071,109.66K
2022-05-12,1.07,1.07,1.12,1.036,20.04K
2022-05-13,1.03,1.0,1.115,0.98,75.57K
2022-05-16,1.024,1.01,1.091,1.0,34.61K
2022-05-17,1.06,1.07,1.11,1.0,80.27K
2022-05-18,1.06,1.1,1.13,1.06,7.76K
2022-05-19,1.15,1.15,1.17,1.14,32.83K
2022-05-20,1.17,1.16,1.17,1.07,34.66K
2022-05-23,1.18,1.09,1.18,1.09,15.88K
2022-05-24,1.09,0.935,1.09,0.93,210.53K
2022-05-25,0.92,0.989,1.04,0.92,58.98K
2022-05-26,1.04,0.95,1.06,0.95,97.60K
2022-05-27,0.99,0.998,1.01,0.93,30.18K
