Date,Open,Close,High,Low,Volume
2022-04-29,40.3,39.27,40.57,39.06,122.03K
2022-05-02,39.32,39.48,40.18,38.8,116.61K
2022-05-03,39.44,39.59,39.92,38.94,80.33K
2022-05-04,39.72,40.5,40.61,39.36,141.11K
2022-05-05,40.07,39.35,40.2,39.08,122.37K
2022-05-06,39.41,39.11,39.56,38.56,129.29K
2022-05-09,38.8,39.18,39.5,38.61,110.35K
2022-05-10,39.18,38.33,39.28,37.64,118.09K
2022-05-11,38.55,38.22,39.12,38.19,124.90K
2022-05-12,38.02,38.45,38.47,37.61,147.07K
2022-05-13,38.15,38.24,38.87,38.11,144.22K
2022-05-16,38.24,38.38,38.59,37.82,173.49K
2022-05-17,38.97,39.76,39.99,38.97,140.32K
2022-05-18,39.35,39.49,39.99,39.1,174.31K
2022-05-19,38.98,39.04,39.68,38.89,192.64K
2022-05-20,39.31,39.33,39.81,38.71,130.84K
2022-05-23,39.75,40.62,40.99,39.75,213.80K
2022-05-24,40.58,40.71,40.9,39.66,119.68K
2022-05-25,40.59,41.25,41.57,40.59,139.01K
2022-05-26,41.62,41.84,42.04,40.92,90.39K
2022-05-27,41.83,42.31,42.34,41.75,61.20K
