Date,Open,Close,High,Low,Volume
2022-04-29,23.51,22.76,23.72,22.72,1.44M
2022-05-02,22.74,22.84,23.13,22.4,1.64M
2022-05-03,22.87,23.25,23.52,22.87,1.02M
2022-05-04,23.28,23.77,23.82,23.07,1.23M
2022-05-05,23.56,23.32,23.63,23.06,1.28M
2022-05-06,23.16,22.59,23.29,22.49,1.00M
2022-05-09,22.34,21.85,22.55,21.69,1.19M
2022-05-10,21.91,21.88,22.14,21.55,1.45M
2022-05-11,21.71,21.94,22.85,21.51,1.14M
2022-05-12,21.79,21.94,21.98,21.41,1.52M
2022-05-13,22.27,23.0,23.05,21.93,1.38M
2022-05-16,22.87,23.09,23.41,22.87,950.64K
2022-05-17,23.38,23.71,23.76,23.12,2.16M
2022-05-18,23.4,22.93,23.68,22.9,1.15M
2022-05-19,22.76,22.87,23.34,22.72,818.00K
2022-05-20,23.18,22.96,23.34,22.53,879.36K
2022-05-23,23.06,23.22,23.36,22.81,659.67K
2022-05-24,23.04,23.4,23.51,22.81,1.08M
2022-05-25,23.93,24.43,24.56,23.4,1.57M
2022-05-26,24.45,24.63,24.84,24.39,797.26K
2022-05-27,24.58,25.02,25.13,24.58,969.49K
