Date,Open,Close,High,Low,Volume
2022-04-22,86.5,85.65,86.94,85.19,3.99M
2022-04-25,85.65,86.68,86.79,83.62,3.50M
2022-04-26,85.84,86.26,87.04,85.74,4.19M
2022-04-27,85.99,86.75,87.42,85.73,3.69M
2022-04-28,86.86,87.81,87.99,85.38,2.67M
2022-04-29,87.25,85.68,87.82,85.24,3.32M
2022-05-02,86.14,84.75,86.59,83.14,3.48M
2022-05-03,85.51,83.92,85.51,83.11,2.81M
2022-05-04,83.81,86.65,86.87,83.35,3.50M
2022-05-05,85.75,83.04,86.17,82.13,3.92M
2022-05-06,82.55,86.67,87.59,82.55,6.64M
2022-05-09,85.37,83.57,86.49,82.21,4.92M
2022-05-10,84.89,84.14,85.28,83.07,2.89M
2022-05-11,83.88,84.91,87.32,83.39,3.44M
2022-05-12,83.71,85.68,86.53,83.71,3.16M
2022-05-13,86.11,88.89,89.15,85.86,3.18M
2022-05-16,88.11,89.11,90.06,88.11,2.72M
2022-05-17,89.76,89.23,90.21,88.08,2.27M
2022-05-18,89.45,86.62,90.24,86.24,3.15M
2022-05-19,86.08,86.76,87.59,85.14,3.25M
2022-05-20,87.11,87.63,87.98,85.9,3.81M
