Date,Open,Close,High,Low,Volume
2022-04-22,16.18,17.46,18.6,16.0,14.38M
2022-04-25,16.83,17.28,17.51,16.26,4.86M
2022-04-26,17.1,15.61,17.24,15.51,4.01M
2022-04-27,15.67,14.67,15.68,14.66,3.96M
2022-04-28,14.83,14.75,14.9,13.82,5.40M
2022-04-29,14.59,13.61,14.89,13.55,4.61M
2022-05-02,13.6,13.72,13.79,12.85,4.26M
2022-05-03,13.75,14.04,14.28,13.33,3.01M
2022-05-04,13.85,14.22,14.24,13.44,3.02M
2022-05-05,13.86,12.76,13.94,12.52,4.78M
2022-05-06,12.57,12.07,12.66,11.77,3.97M
2022-05-09,11.75,10.97,11.89,10.91,4.75M
2022-05-10,11.18,10.11,11.25,9.83,5.54M
2022-05-11,10.17,9.22,10.5,9.06,5.29M
2022-05-12,9.12,9.4,10.55,8.8,7.50M
2022-05-13,9.59,9.64,10.05,9.4,4.99M
2022-05-16,9.51,9.4,9.77,9.21,3.01M
2022-05-17,9.5,9.76,10.15,9.15,5.70M
2022-05-18,9.31,8.9,9.5,8.52,7.61M
2022-05-19,8.72,9.66,9.83,8.6,8.02M
2022-05-20,9.66,8.7,9.66,8.31,6.03M
