Date,Open,Close,High,Low,Volume
2022-04-22,17.5,16.87,18.03,16.735,3.14M
2022-04-25,16.168,15.92,16.215,15.091,4.58M
2022-04-26,16.18,15.9,16.59,15.895,3.18M
2022-04-27,15.9,16.23,16.57,15.68,3.62M
2022-04-28,16.17,17.44,17.61,15.77,5.51M
2022-04-29,17.44,16.44,17.53,16.155,4.17M
2022-05-02,16.43,16.24,16.72,15.695,3.26M
2022-05-03,16.35,16.91,17.1,16.345,3.65M
2022-05-04,17.45,17.57,17.68,16.74,3.07M
2022-05-05,17.53,16.24,17.72,15.93,2.98M
2022-05-06,16.59,16.46,16.71,15.94,2.54M
2022-05-09,16.01,14.47,16.07,14.09,5.81M
2022-05-10,14.6,14.34,14.89,13.805,4.85M
2022-05-11,14.91,14.5,15.435,14.435,3.18M
2022-05-12,14.36,14.3,14.59,13.92,2.85M
2022-05-13,14.48,15.12,15.24,14.48,3.09M
2022-05-16,15.28,15.83,16.1,15.2,2.84M
2022-05-17,16.06,16.2,16.575,15.925,2.33M
2022-05-18,16.4,16.0,16.55,15.53,3.56M
2022-05-19,15.48,15.79,16.31,15.37,3.82M
2022-05-20,15.97,15.8,16.15,15.55,2.73M
