"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 27일","39.64","39.31","39.78","39.18","377.45K","1.80%"
"2022년 05월 26일","38.94","38.35","39.07","38.19","585.93K","1.46%"
"2022년 05월 25일","38.38","38.09","38.66","37.83","550.87K","0.47%"
"2022년 05월 24일","38.20","39.15","39.30","37.84","836.89K","-2.45%"
"2022년 05월 23일","39.16","39.54","39.58","38.47","386.11K","-0.81%"
"2022년 05월 20일","39.48","38.78","39.55","38.64","1.20M","3.19%"
"2022년 05월 19일","38.26","37.62","38.76","37.62","738.43K","1.57%"
"2022년 05월 18일","37.67","37.50","37.94","37.38","772.60K","-0.87%"
"2022년 05월 17일","38.00","37.70","38.00","37.26","439.21K","2.59%"
"2022년 05월 16일","37.04","37.08","37.32","36.53","545.75K","0.16%"
"2022년 05월 13일","36.98","36.08","37.13","35.88","543.25K","4.17%"
"2022년 05월 12일","35.50","35.39","36.14","35.04","983.20K","-1.25%"
"2022년 05월 11일","35.95","36.93","37.22","35.76","793.03K","-2.97%"
"2022년 05월 10일","37.05","37.37","37.57","36.21","1.23M","0.46%"
"2022년 05월 09일","36.88","37.63","37.98","36.79","711.51K","-3.76%"
"2022년 05월 06일","38.32","38.33","38.64","37.37","838.44K","-1.14%"
"2022년 05월 05일","38.76","41.22","41.22","38.02","1.33M","-5.30%"
"2022년 05월 04일","40.93","40.54","41.14","39.57","517.31K","2.22%"
"2022년 05월 03일","40.04","40.03","40.72","39.89","498.88K","-0.20%"
"2022년 05월 02일","40.12","39.95","40.40","39.64","435.73K","0.17%"
"2022년 04월 29일","40.05","40.58","40.96","39.97","554.82K","-1.79%"
