"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 27일","7.590","7.530","7.590","7.530","0.48K","3.41%"
"2022년 05월 26일","7.340","6.990","7.340","6.990","0.93K","8.74%"
"2022년 05월 25일","6.750","6.820","6.912","6.750","0.95K","-3.30%"
"2022년 05월 24일","6.980","7.000","7.030","6.960","0.69K","-3.66%"
"2022년 05월 23일","7.245","7.130","7.245","7.050","0.86K","3.21%"
"2022년 05월 20일","7.020","7.050","7.050","6.920","0.57K","-1.68%"
"2022년 05월 19일","7.140","7.130","7.140","7.130","0.41K","0.99%"
"2022년 05월 18일","7.070","7.440","7.440","7.020","3.46K","-3.94%"
"2022년 05월 17일","7.360","7.380","7.826","7.330","13.85K","1.66%"
"2022년 05월 16일","7.240","7.230","7.240","7.230","0.50K","0.98%"
"2022년 05월 13일","7.170","6.800","7.325","6.800","9.29K","3.17%"
"2022년 05월 12일","6.950","7.080","7.186","6.950","7.17K","-4.14%"
"2022년 05월 11일","7.250","7.260","7.260","7.250","0.60K","-3.33%"
"2022년 05월 10일","7.500","7.350","7.520","7.260","0.95K","2.46%"
"2022년 05월 09일","7.320","7.275","7.320","7.120","1.49K","0.27%"
"2022년 05월 06일","7.300","7.220","7.550","7.220","1.88K","-3.72%"
"2022년 05월 05일","7.582","7.500","7.584","7.410","4.47K","1.09%"
"2022년 05월 04일","7.500","7.350","7.500","7.300","3.41K","-1.96%"
"2022년 05월 03일","7.650","7.540","7.650","7.330","3.59K","1.80%"
"2022년 05월 02일","7.515","7.540","7.637","7.420","3.89K","-4.45%"
"2022년 04월 29일","7.865","7.990","8.060","7.830","2.88K","-1.07%"
