"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 20일","2.3500","2.7500","2.9500","2.3200","266.09K","-17.83%"
"2022년 05월 19일","2.8600","2.5300","3.0000","2.5100","254.10K","10.00%"
"2022년 05월 18일","2.6000","2.8700","2.8700","2.5580","197.77K","-12.46%"
"2022년 05월 17일","2.9700","3.1900","3.2790","2.7500","612.03K","-30.36%"
"2022년 05월 16일","4.2650","4.5125","4.7000","4.0075","344.97K","-19.41%"
"2022년 05월 13일","5.2925","6.4000","6.7500","5.0000","3.16M","44.51%"
"2022년 05월 12일","3.6625","3.3000","3.8575","3.2550","133.25K","14.36%"
"2022년 05월 11일","3.2025","3.7500","3.8525","3.2000","102.12K","-15.94%"
"2022년 05월 10일","3.8100","3.7525","4.0000","3.4525","94.87K","1.53%"
"2022년 05월 09일","3.7525","4.2700","4.4825","3.6875","210.39K","-13.74%"
"2022년 05월 06일","4.3500","4.7250","4.7500","4.2500","99.84K","-7.84%"
"2022년 05월 05일","4.7200","4.6950","5.0000","4.5450","106.43K","1.23%"
"2022년 05월 04일","4.6625","5.0000","5.1250","4.4000","79.88K","-0.80%"
"2022년 05월 03일","4.7000","4.5250","5.1750","4.5250","121.19K","2.79%"
"2022년 05월 02일","4.5725","4.6350","4.6350","4.3750","54.56K","5.72%"
"2022년 04월 29일","4.3250","4.6925","4.7475","4.3250","100.05K","-7.83%"
"2022년 04월 28일","4.6925","4.7500","5.0000","4.3775","169.20K","0.97%"
"2022년 04월 27일","4.6475","4.7650","5.2000","4.5175","180.15K","-1.27%"
"2022년 04월 26일","4.7075","5.0625","5.1200","4.5000","86.79K","-6.36%"
"2022년 04월 25일","5.0275","5.1225","5.1375","4.9250","77.62K","-3.18%"
"2022년 04월 22일","5.1925","5.2500","5.6675","5.0000","141.87K","1.07%"
