"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 27일","0.8906","0.8800","0.9100","0.8701","63.75K","0.39%"
"2022년 05월 26일","0.8871","0.8500","0.8980","0.8500","124.44K","1.41%"
"2022년 05월 25일","0.8748","0.8700","0.8969","0.8500","62.85K","1.97%"
"2022년 05월 24일","0.8579","0.8754","0.8900","0.8500","32.84K","-1.39%"
"2022년 05월 23일","0.8700","0.8835","0.8835","0.8501","55.61K","-0.74%"
"2022년 05월 20일","0.8765","0.8699","0.8869","0.8601","33.65K","-1.49%"
"2022년 05월 19일","0.8898","0.8878","0.8999","0.8800","81.09K","0.92%"
"2022년 05월 18일","0.8817","0.9000","0.9100","0.8600","65.87K","-2.56%"
"2022년 05월 17일","0.9049","0.8400","0.9100","0.8400","183.91K","5.66%"
"2022년 05월 16일","0.8564","0.9000","0.9135","0.8450","129.88K","-1.56%"
"2022년 05월 13일","0.8700","0.8695","0.9799","0.8500","364.59K","1.16%"
"2022년 05월 12일","0.8600","0.8500","0.8797","0.8500","83.03K","2.26%"
"2022년 05월 11일","0.8410","0.9100","0.9200","0.8300","359.86K","-8.11%"
"2022년 05월 10일","0.9152","0.9034","0.9300","0.8200","524.29K","-1.92%"
"2022년 05월 09일","0.9331","0.9700","1.0000","0.9200","84.11K","-6.69%"
"2022년 05월 06일","1.0000","1.0500","1.0500","0.9677","62.85K","-2.91%"
"2022년 05월 05일","1.0300","1.0300","1.0300","0.9700","25.26K","0.67%"
"2022년 05월 04일","1.0231","0.9997","1.0296","0.9900","8.08K","2.35%"
"2022년 05월 03일","0.9996","1.0000","1.0000","0.9800","68.64K","-0.04%"
"2022년 05월 02일","1.0000","1.0000","1.0100","0.9687","89.77K","0.01%"
"2022년 04월 29일","0.9999","1.0300","1.0399","0.9903","65.40K","-2.45%"
