Date,Open,Close,High,Low,Volume
2022-04-25,242.22,242.76,244.34,237.72,1.20M
2022-04-26,243.15,235.63,244.03,235.28,981.54K
2022-04-27,236.42,238.25,241.43,236.42,1.03M
2022-04-28,239.83,240.48,242.07,234.83,1.51M
2022-04-29,240.3,234.07,241.58,233.27,1.89M
2022-05-02,235.61,235.4,238.15,230.92,969.54K
2022-05-03,235.4,239.1,240.35,235.18,1.03M
2022-05-04,238.15,247.49,247.49,238.15,1.14M
2022-05-05,247.56,235.98,254.0,233.77,1.45M
2022-05-06,235.86,235.82,237.47,230.19,1.29M
2022-05-09,231.87,233.22,236.53,231.04,1.27M
2022-05-10,234.71,230.68,236.82,225.28,1.50M
2022-05-11,229.91,232.89,235.91,228.4,1.25M
2022-05-12,228.29,231.41,234.64,227.38,1.39M
2022-05-13,232.9,233.71,234.99,231.07,659.33K
2022-05-16,232.93,232.92,234.64,229.38,880.53K
2022-05-17,238.24,239.58,239.94,233.64,889.37K
2022-05-18,237.06,234.47,237.5,233.38,831.36K
2022-05-19,232.74,234.22,236.8,231.69,725.15K
2022-05-20,237.36,237.59,237.74,231.13,1.03M
2022-05-23,240.22,237.95,241.01,235.19,724.79K
2022-05-24,238.86,236.82,239.02,233.45,729.69K
