Date,Open,Close,High,Low,Volume
2022-04-25,71.8,70.59,72.14,69.94,2.95M
2022-04-26,70.23,70.38,71.46,70.23,1.59M
2022-04-27,70.4,70.21,71.21,69.89,1.39M
2022-04-28,70.37,70.87,71.09,69.76,2.04M
2022-04-29,70.52,68.69,70.6,68.55,2.11M
2022-05-02,69.16,67.8,69.56,67.22,1.97M
2022-05-03,67.98,67.49,69.17,67.39,2.11M
2022-05-04,67.53,68.84,69.0,67.48,2.25M
2022-05-05,68.21,67.48,68.52,66.99,1.37M
2022-05-06,67.2,67.75,68.01,66.92,2.06M
2022-05-09,67.45,69.18,69.69,67.19,2.06M
2022-05-10,69.15,68.28,70.2,67.66,1.88M
2022-05-11,68.21,68.58,69.72,68.15,1.34M
2022-05-12,68.6,68.58,69.05,67.71,2.88M
2022-05-13,69.1,69.45,69.67,68.44,2.44M
2022-05-16,69.72,69.08,69.76,68.82,1.90M
2022-05-17,69.28,69.31,69.5,68.25,1.38M
2022-05-18,69.55,68.9,69.67,68.74,1.57M
2022-05-19,68.71,69.21,69.42,68.15,1.68M
2022-05-20,69.34,68.83,69.39,68.2,2.14M
2022-05-23,69.76,69.63,69.92,68.73,1.55M
2022-05-24,69.88,71.71,71.81,69.59,1.63M
