Date,Open,Close,High,Low,Volume
2022-04-25,101.84,101.77,102.39,99.21,4.94M
2022-04-26,101.11,101.43,102.91,101.04,3.92M
2022-04-27,101.21,100.85,102.33,99.74,4.73M
2022-04-28,101.74,100.85,102.6,100.37,5.89M
2022-04-29,100.28,96.13,100.44,95.89,8.65M
2022-05-02,96.45,96.5,97.32,95.02,6.45M
2022-05-03,97.11,95.98,97.73,95.93,5.89M
2022-05-04,96.78,100.57,101.21,95.53,9.36M
2022-05-05,100.61,97.73,100.61,96.5,8.24M
2022-05-06,97.31,100.69,100.93,97.19,8.22M
2022-05-09,99.58,98.86,100.15,98.37,7.15M
2022-05-10,99.41,98.16,100.1,97.72,5.18M
2022-05-11,98.24,97.99,99.87,97.88,4.66M
2022-05-12,97.44,98.25,98.26,96.29,4.91M
2022-05-13,98.41,97.48,98.62,96.58,4.47M
2022-05-16,98.0,98.55,99.35,97.08,3.38M
2022-05-17,98.89,99.38,99.53,97.92,4.15M
2022-05-18,98.43,94.02,98.43,92.93,8.12M
2022-05-19,93.03,93.14,93.68,91.47,7.00M
2022-05-20,93.28,94.93,95.22,92.74,5.19M
2022-05-23,96.0,95.57,97.07,94.98,6.02M
2022-05-24,96.1,96.45,97.0,94.79,3.94M
