Date,Open,Close,High,Low,Volume
2022-04-22,31.25,30.63,31.6,30.38,2.77M
2022-04-25,30.77,31.49,31.61,29.97,2.97M
2022-04-26,31.34,31.07,31.63,30.85,2.52M
2022-04-27,31.11,30.56,31.13,29.95,3.36M
2022-04-28,30.9,30.52,30.9,29.47,2.57M
2022-04-29,30.58,28.51,30.9,28.39,3.60M
2022-05-02,28.35,27.73,28.71,26.82,5.02M
2022-05-03,27.71,28.09,28.41,27.45,3.24M
2022-05-04,28.05,29.39,29.6,27.71,3.79M
2022-05-05,28.99,27.48,29.3,27.1,4.41M
2022-05-06,26.18,22.22,26.66,21.77,13.29M
2022-05-09,21.9,21.3,22.71,20.95,11.36M
2022-05-10,21.74,21.75,22.27,20.83,7.33M
2022-05-11,21.43,17.46,21.81,17.29,18.59M
2022-05-12,17.39,20.01,20.01,17.04,12.88M
2022-05-13,20.04,20.86,21.24,19.99,6.26M
2022-05-16,20.77,20.49,20.77,19.9,4.62M
2022-05-17,21.29,21.5,21.75,20.54,5.96M
2022-05-18,21.12,20.89,21.53,20.73,4.86M
2022-05-19,20.6,20.51,21.06,20.37,5.95M
2022-05-20,20.69,20.78,20.98,20.16,4.56M
