Date,Open,Close,High,Low,Volume
2022-04-25,464.75,472.27,477.38,464.26,1.81M
2022-04-26,471.92,456.0,472.16,453.92,1.88M
2022-04-27,462.74,466.29,474.41,459.42,2.54M
2022-04-28,508.0,504.02,514.0,484.76,3.75M
2022-04-29,489.18,478.1,508.99,477.08,1.46M
2022-05-02,476.38,484.5,485.31,469.12,1.37M
2022-05-03,481.98,481.86,488.39,469.62,1.19M
2022-05-04,485.24,499.46,501.11,460.09,1.83M
2022-05-05,494.89,469.33,495.48,461.98,1.92M
2022-05-06,462.56,456.74,468.47,438.12,1.97M
2022-05-09,443.0,425.87,450.31,422.61,2.85M
2022-05-10,441.0,432.32,444.41,416.56,1.88M
2022-05-11,426.17,420.36,447.98,418.71,1.83M
2022-05-12,418.59,432.94,443.11,406.47,2.70M
2022-05-13,440.05,452.65,459.41,436.52,2.09M
2022-05-16,446.25,432.93,451.79,430.78,1.66M
2022-05-17,445.92,432.85,451.48,417.05,2.06M
2022-05-18,428.5,412.25,434.62,408.21,1.77M
2022-05-19,414.48,426.76,435.72,410.32,2.04M
2022-05-20,437.67,433.03,446.67,419.86,1.73M
2022-05-23,430.92,430.12,438.93,424.31,1.93M
2022-05-24,426.5,419.65,430.11,411.04,1.70M
