Date,Open,Close,High,Low,Volume
2022-04-25,141.05,141.91,142.32,136.89,713.00K
2022-04-26,141.48,139.24,143.62,139.24,498.64K
2022-04-27,139.8,140.07,142.28,138.47,969.43K
2022-04-28,140.62,142.93,143.77,138.68,1.40M
2022-04-29,148.01,146.94,153.98,146.35,1.77M
2022-05-02,147.33,145.95,148.96,142.76,1.22M
2022-05-03,146.69,150.34,150.67,146.04,877.55K
2022-05-04,151.45,156.08,156.47,150.12,930.95K
2022-05-05,155.1,151.55,155.72,149.18,759.45K
2022-05-06,151.08,148.99,151.24,147.04,1.24M
2022-05-09,146.03,142.92,148.38,142.71,1.72M
2022-05-10,144.49,140.86,146.16,140.13,1.69M
2022-05-11,141.72,141.53,145.31,141.04,991.55K
2022-05-12,140.56,139.02,140.56,135.65,934.24K
2022-05-13,140.55,142.52,143.54,140.54,1.03M
2022-05-16,141.84,144.68,146.49,138.82,1.32M
2022-05-17,152.65,155.51,156.83,151.24,1.72M
2022-05-18,153.33,151.31,156.54,150.75,1.02M
2022-05-19,149.82,150.02,152.52,148.53,934.62K
2022-05-20,152.0,150.73,153.87,148.08,1.00M
2022-05-23,152.76,151.79,154.04,150.48,662.32K
2022-05-24,151.0,149.47,151.02,146.41,627.30K
