Date,Open,Close,High,Low,Volume
2022-04-25,40.0,38.69,40.03,36.95,23.95M
2022-04-26,38.8,39.54,40.63,38.01,19.94M
2022-04-27,40.15,39.95,40.46,39.29,10.62M
2022-04-28,40.36,40.11,40.49,38.54,11.50M
2022-04-29,40.52,39.01,40.91,38.83,10.52M
2022-05-02,38.34,39.11,39.52,38.17,11.45M
2022-05-03,38.99,40.15,40.49,38.91,8.88M
2022-05-04,41.29,42.6,42.69,40.45,11.59M
2022-05-05,43.24,42.08,43.43,41.42,16.28M
2022-05-06,42.58,43.03,43.6,41.51,12.40M
2022-05-09,41.84,38.04,42.17,38.03,14.85M
2022-05-10,38.47,37.89,39.15,36.96,10.89M
2022-05-11,38.42,38.37,39.93,38.26,11.32M
2022-05-12,37.98,39.03,39.07,37.08,13.43M
2022-05-13,39.69,40.74,40.83,39.57,9.67M
2022-05-16,40.86,42.14,42.58,40.8,10.12M
2022-05-17,42.52,42.95,43.42,42.41,9.84M
2022-05-18,43.34,41.13,43.52,40.52,9.67M
2022-05-19,40.04,40.85,41.42,40.01,12.12M
2022-05-20,41.39,41.12,42.07,40.43,9.87M
2022-05-23,41.91,43.81,43.99,41.46,13.26M
2022-05-24,42.97,43.9,44.2,42.46,11.10M
