Date,Open,Close,High,Low,Volume
2022-04-25,121.5,121.27,122.29,119.81,2.54M
2022-04-26,120.3,116.69,120.7,116.55,2.07M
2022-04-27,116.77,116.9,118.94,116.54,2.02M
2022-04-28,118.17,119.52,120.75,118.17,1.15M
2022-04-29,118.65,117.01,120.12,116.87,1.36M
2022-05-02,116.9,115.76,117.69,113.73,2.07M
2022-05-03,116.16,115.07,116.6,113.27,1.84M
2022-05-04,114.55,118.49,118.93,113.02,2.15M
2022-05-05,117.35,115.62,117.85,114.68,1.37M
2022-05-06,114.9,115.39,116.47,114.03,1.25M
2022-05-09,113.75,110.1,113.97,109.98,2.42M
2022-05-10,111.34,110.74,112.29,109.42,1.54M
2022-05-11,109.76,108.9,110.69,108.54,2.10M
2022-05-12,108.73,110.51,112.0,108.57,1.92M
2022-05-13,111.92,112.83,114.01,111.65,1.23M
2022-05-16,112.51,112.18,112.95,111.11,1.52M
2022-05-17,113.52,112.47,113.67,111.77,1.11M
2022-05-18,111.4,109.46,111.64,108.79,2.93M
2022-05-19,109.08,109.97,110.85,108.59,1.61M
2022-05-20,110.99,111.92,112.0,109.61,1.77M
2022-05-23,113.0,113.82,113.89,110.97,1.56M
2022-05-24,113.27,114.07,114.15,112.58,1.91M
