Date,Open,Close,High,Low,Volume
2022-05-02,35.2,34.22,35.33,33.76,4.57M
2022-05-03,34.33,34.85,35.03,34.17,3.55M
2022-05-04,34.87,35.69,35.76,34.69,2.82M
2022-05-05,35.67,35.42,35.88,35.21,3.73M
2022-05-06,35.24,35.59,35.73,35.24,3.82M
2022-05-09,35.43,36.29,36.53,35.35,5.16M
2022-05-10,36.37,35.71,36.67,35.42,3.88M
2022-05-11,35.69,35.69,36.16,35.57,3.46M
2022-05-12,35.85,35.67,36.08,35.3,4.18M
2022-05-13,35.77,35.89,35.99,35.56,4.11M
2022-05-16,35.89,35.64,36.03,35.44,3.80M
2022-05-17,35.41,35.31,35.58,34.44,5.08M
2022-05-18,35.05,32.33,35.1,32.17,5.92M
2022-05-19,32.0,31.74,32.08,31.31,5.21M
2022-05-20,31.93,31.72,32.08,31.01,6.20M
2022-05-23,32.09,32.34,32.75,31.92,3.96M
2022-05-24,32.36,32.88,32.97,32.17,3.07M
2022-05-25,32.91,32.77,32.94,32.52,3.98M
2022-05-26,32.78,32.98,33.44,32.68,3.79M
2022-05-27,32.94,33.15,33.25,32.8,3.92M
