Date,Open,Close,High,Low,Volume
2022-05-02,49.2,48.94,49.28,47.98,11.63M
2022-05-03,49.48,49.61,50.2,49.26,11.03M
2022-05-04,49.56,50.76,50.78,49.16,16.56M
2022-05-05,50.04,49.45,50.19,48.54,8.16M
2022-05-06,49.47,49.06,49.53,48.17,9.09M
2022-05-09,48.78,48.57,49.19,48.15,8.96M
2022-05-10,49.0,47.46,49.25,46.86,9.40M
2022-05-11,47.58,46.85,48.84,46.78,7.18M
2022-05-12,46.27,46.47,46.74,45.51,7.63M
2022-05-13,46.88,46.31,47.0,45.87,8.45M
2022-05-16,46.35,46.12,46.63,45.52,7.71M
2022-05-17,47.1,47.89,48.01,46.87,10.55M
2022-05-18,47.39,46.36,47.54,46.22,6.93M
2022-05-19,45.91,46.12,46.62,45.74,7.64M
2022-05-20,46.37,45.68,46.72,44.85,9.73M
2022-05-23,46.7,47.27,47.77,46.39,6.34M
2022-05-24,47.18,46.81,47.37,45.75,6.33M
2022-05-25,46.64,47.62,47.92,46.64,7.79M
2022-05-26,47.99,48.41,48.78,47.95,5.31M
2022-05-27,48.44,49.13,49.14,48.34,5.36M
