Date,Open,Close,High,Low,Volume
2022-05-02,35.95,36.57,36.67,35.88,2.70M
2022-05-03,36.67,36.24,36.77,36.01,3.06M
2022-05-04,36.23,37.04,37.15,36.08,1.89M
2022-05-05,36.74,36.54,37.08,36.22,1.87M
2022-05-06,36.28,34.6,36.37,34.21,3.16M
2022-05-09,34.22,33.21,34.52,33.13,4.06M
2022-05-10,32.08,32.42,33.37,31.35,4.57M
2022-05-11,32.53,33.21,33.86,32.43,3.78M
2022-05-12,33.11,33.45,33.68,32.45,3.27M
2022-05-13,33.75,33.8,34.28,33.51,2.67M
2022-05-16,33.75,33.69,34.07,33.44,2.35M
2022-05-17,34.01,34.74,34.95,33.96,2.34M
2022-05-18,34.5,33.49,34.61,33.41,2.88M
2022-05-19,33.21,33.33,33.71,32.98,3.43M
2022-05-20,33.8,33.46,33.85,33.05,2.50M
2022-05-23,34.13,34.19,34.4,33.3,2.41M
2022-05-24,34.0,32.49,34.02,32.22,2.41M
2022-05-25,32.47,33.3,33.53,32.45,2.35M
2022-05-26,33.53,34.54,34.6,33.49,2.95M
2022-05-27,34.51,35.46,35.53,34.37,2.57M
