"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 27일","34.46","33.97","34.52","33.79","186.73K","1.98%"
"2022년 05월 26일","33.79","33.75","34.10","33.50","229.52K","1.05%"
"2022년 05월 25일","33.44","33.39","33.96","33.11","244.79K","0.12%"
"2022년 05월 24일","33.40","33.59","33.69","32.66","191.10K","-0.71%"
"2022년 05월 23일","33.64","32.86","33.85","32.73","205.29K","3.83%"
"2022년 05월 20일","32.40","32.37","32.66","31.63","196.21K","0.75%"
"2022년 05월 19일","32.16","32.35","32.80","32.04","321.98K","-1.80%"
"2022년 05월 18일","32.75","33.00","33.41","32.47","316.52K","-2.15%"
"2022년 05월 17일","33.47","32.75","33.48","32.75","267.91K","3.56%"
"2022년 05월 16일","32.32","32.80","32.90","31.86","334.32K","-1.97%"
"2022년 05월 13일","32.97","32.35","33.40","32.35","245.06K","1.07%"
"2022년 05월 12일","32.62","32.67","32.70","31.81","360.57K","-0.24%"
"2022년 05월 11일","32.70","33.02","33.43","32.65","263.17K","-0.70%"
"2022년 05월 10일","32.93","33.75","34.24","32.33","290.67K","-2.02%"
"2022년 05월 09일","33.61","33.68","34.05","33.40","241.62K","-0.88%"
"2022년 05월 06일","33.91","34.28","34.45","33.36","318.32K","-0.96%"
"2022년 05월 05일","34.24","34.71","34.71","33.58","231.17K","-1.35%"
"2022년 05월 04일","34.71","33.74","34.86","33.41","247.33K","2.94%"
"2022년 05월 03일","33.72","33.67","33.86","33.08","262.58K","0.54%"
"2022년 05월 02일","33.54","32.68","33.61","32.37","342.90K","3.20%"
"2022년 04월 29일","32.50","32.77","33.66","32.35","314.01K","-2.20%"
