"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 27일","0.6128","0.7311","0.7311","0.6128","2.18K","-17.51%"
"2022년 05월 26일","0.7429","0.6750","0.7429","0.6112","29.86K","8.85%"
"2022년 05월 25일","0.6825","0.6100","0.6825","0.6100","6.38K","11.68%"
"2022년 05월 24일","0.6111","0.6111","0.6258","0.6111","12.66K","-0.07%"
"2022년 05월 23일","0.6115","0.6416","0.6950","0.6112","12.72K","0.07%"
"2022년 05월 20일","0.6111","0.6390","0.6497","0.6111","9.33K","-2.26%"
"2022년 05월 19일","0.6252","0.6152","0.6389","0.6111","7.63K","1.63%"
"2022년 05월 18일","0.6152","0.6120","0.6497","0.6120","8.80K","-3.84%"
"2022년 05월 17일","0.6398","0.6599","0.6900","0.6120","39.93K","-3.06%"
"2022년 05월 16일","0.6600","0.6900","0.6900","0.6568","3.87K","-8.33%"
"2022년 05월 13일","0.7200","0.7085","0.7400","0.6507","10.59K","1.62%"
"2022년 05월 12일","0.7085","0.6603","0.7100","0.6600","13.32K","1.23%"
"2022년 05월 11일","0.6999","0.6801","0.6999","0.6600","19.43K","2.91%"
"2022년 05월 10일","0.6801","0.6800","0.7000","0.6501","24.18K","-4.16%"
"2022년 05월 09일","0.7096","0.7101","0.7600","0.7000","20.49K","-0.07%"
"2022년 05월 06일","0.7101","0.7200","0.7400","0.7101","7.00K","-1.42%"
"2022년 05월 05일","0.7203","0.7600","0.7600","0.7203","3.35K","-2.00%"
"2022년 05월 04일","0.7350","0.7349","0.7500","0.7273","10.64K","-0.50%"
"2022년 05월 03일","0.7387","0.7200","0.7482","0.7200","1.56K","-0.18%"
"2022년 05월 02일","0.7400","0.7200","0.7560","0.7200","2.20K","-5.73%"
"2022년 04월 29일","0.7850","0.7900","0.8400","0.7600","27.10K","-0.63%"
