"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 24일","9.47","9.85","10.04","9.24","16.21M","-8.33%"
"2022년 05월 23일","10.33","10.45","10.65","10.05","12.46M","-5.49%"
"2022년 05월 20일","10.93","11.18","11.29","10.52","9.94M","-2.32%"
"2022년 05월 19일","11.19","11.31","11.51","11.07","9.35M","-3.12%"
"2022년 05월 18일","11.55","12.15","12.19","11.44","8.86M","-9.84%"
"2022년 05월 17일","12.81","12.59","12.92","12.31","6.04M","2.32%"
"2022년 05월 16일","12.52","12.03","12.54","11.81","6.38M","3.05%"
"2022년 05월 13일","12.15","12.17","12.55","12.03","6.92M","1.33%"
"2022년 05월 12일","11.99","11.38","12.26","11.29","6.90M","5.18%"
"2022년 05월 11일","11.40","12.09","12.19","11.40","6.39M","-4.52%"
"2022년 05월 10일","11.94","12.57","12.73","11.68","7.05M","-4.56%"
"2022년 05월 09일","12.51","12.43","12.98","12.39","11.33M","-1.42%"
"2022년 05월 06일","12.69","12.85","12.94","12.11","7.79M","-1.32%"
"2022년 05월 05일","12.86","13.24","13.31","12.71","6.08M","-4.88%"
"2022년 05월 04일","13.52","13.00","13.53","12.81","6.80M","3.44%"
"2022년 05월 03일","13.07","13.00","13.32","12.93","7.47M","0.54%"
"2022년 05월 02일","13.00","12.46","13.02","12.29","7.34M","4.67%"
"2022년 04월 29일","12.42","12.79","12.98","12.39","5.85M","-3.42%"
"2022년 04월 28일","12.86","12.69","12.99","12.40","8.70M","2.80%"
"2022년 04월 27일","12.51","12.56","12.82","12.40","10.58M","0.00%"
"2022년 04월 26일","12.51","12.30","12.56","12.01","10.19M","0.56%"
"2022년 04월 25일","12.44","12.00","12.44","11.70","18.16M","6.14%"
