"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 24일","471.10","455.58","472.44","455.58","793.72K","3.14%"
"2022년 05월 23일","456.77","446.65","458.27","446.30","548.20K","3.03%"
"2022년 05월 20일","443.33","450.18","450.89","437.52","636.97K","-1.15%"
"2022년 05월 19일","448.50","449.38","453.39","439.20","758.68K","-1.40%"
"2022년 05월 18일","454.87","459.23","462.28","451.26","751.80K","-0.96%"
"2022년 05월 17일","459.28","458.58","462.21","453.48","580.44K","0.26%"
"2022년 05월 16일","458.08","453.67","461.32","452.95","585.60K","1.16%"
"2022년 05월 13일","452.83","451.73","454.45","447.34","570.01K","0.45%"
"2022년 05월 12일","450.78","448.12","450.91","442.70","925.28K","0.96%"
"2022년 05월 11일","446.48","449.68","458.37","445.07","791.53K","-0.78%"
"2022년 05월 10일","449.97","452.45","456.35","447.14","909.99K","-0.88%"
"2022년 05월 09일","453.98","465.96","466.92","452.35","880.83K","-3.14%"
"2022년 05월 06일","468.70","464.38","469.46","457.68","925.44K","0.44%"
"2022년 05월 05일","466.66","463.24","470.23","457.14","1.56M","0.88%"
"2022년 05월 04일","462.57","453.57","464.00","450.27","792.22K","2.51%"
"2022년 05월 03일","451.25","444.45","453.23","439.69","1.00M","2.88%"
"2022년 05월 02일","438.62","437.12","444.63","431.92","757.05K","-0.18%"
"2022년 04월 29일","439.40","447.61","449.34","438.03","935.48K","-1.30%"
"2022년 04월 28일","445.17","439.32","449.77","432.39","1.11M","1.23%"
"2022년 04월 27일","439.77","444.71","450.69","439.77","835.11K","-0.62%"
"2022년 04월 26일","442.51","444.68","452.48","440.41","614.26K","-0.34%"
"2022년 04월 25일","444.02","443.99","444.99","434.15","605.97K","-0.76%"
