"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 20일","6.84","7.27","7.35","6.47","13.40M","-4.07%"
"2022년 05월 19일","7.13","6.99","7.53","6.95","12.36M","2.89%"
"2022년 05월 18일","6.93","7.45","7.57","6.80","10.45M","-9.06%"
"2022년 05월 17일","7.62","7.56","7.83","7.33","9.13M","5.98%"
"2022년 05월 16일","7.19","7.83","7.93","7.17","9.76M","-9.79%"
"2022년 05월 13일","7.97","7.95","8.43","7.72","16.99M","9.03%"
"2022년 05월 12일","7.31","6.50","7.45","6.25","18.92M","6.87%"
"2022년 05월 11일","6.84","7.08","7.98","6.75","17.34M","-9.16%"
"2022년 05월 10일","7.53","8.25","8.50","7.23","11.99M","-1.83%"
"2022년 05월 09일","7.67","8.87","9.00","7.53","14.02M","-19.18%"
"2022년 05월 06일","9.49","9.99","10.09","9.30","8.82M","-6.87%"
"2022년 05월 05일","10.19","11.34","11.37","9.91","9.39M","-11.93%"
"2022년 05월 04일","11.57","10.90","11.64","10.24","11.56M","6.73%"
"2022년 05월 03일","10.84","10.86","11.39","10.72","6.53M","-1.19%"
"2022년 05월 02일","10.97","10.09","10.98","9.75","10.82M","8.19%"
"2022년 04월 29일","10.14","10.82","11.46","10.11","7.93M","-7.31%"
"2022년 04월 28일","10.94","11.10","11.37","10.35","10.37M","-0.36%"
"2022년 04월 27일","10.98","10.83","11.70","10.79","8.20M","-0.90%"
"2022년 04월 26일","11.08","11.97","12.04","10.97","8.50M","-7.97%"
"2022년 04월 25일","12.04","11.52","12.12","11.42","9.59M","1.60%"
"2022년 04월 22일","11.85","12.65","13.10","11.82","9.68M","-7.42%"
