"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 20일","42.94","41.86","43.00","41.52","46.15M","2.92%"
"2022년 05월 19일","41.72","43.06","43.93","41.02","97.67M","-13.73%"
"2022년 05월 18일","48.36","50.47","50.47","48.21","36.01M","-4.43%"
"2022년 05월 17일","50.60","49.68","50.72","49.51","18.65M","3.27%"
"2022년 05월 16일","49.00","49.66","49.66","48.88","20.20M","-1.13%"
"2022년 05월 13일","49.56","48.71","49.63","48.53","18.86M","2.63%"
"2022년 05월 12일","48.29","48.63","48.78","47.47","25.79M","-0.74%"
"2022년 05월 11일","48.65","49.09","49.64","48.58","23.86M","-1.82%"
"2022년 05월 10일","49.55","49.71","50.24","49.15","21.71M","1.21%"
"2022년 05월 09일","48.96","49.00","49.42","48.67","22.42M","-0.75%"
"2022년 05월 06일","49.33","49.15","49.83","48.85","21.74M","-0.56%"
"2022년 05월 05일","49.61","51.15","51.21","49.15","24.85M","-3.82%"
"2022년 05월 04일","51.58","50.03","51.65","49.67","23.94M","3.33%"
"2022년 05월 03일","49.92","49.77","50.36","49.53","15.83M","0.12%"
"2022년 05월 02일","49.86","49.34","49.91","48.93","22.50M","1.80%"
"2022년 04월 29일","48.98","50.51","50.64","48.87","20.28M","-3.26%"
"2022년 04월 28일","50.63","49.53","50.78","49.21","20.17M","2.68%"
"2022년 04월 27일","49.31","50.91","51.11","49.24","33.67M","-3.12%"
"2022년 04월 26일","50.90","51.88","51.94","50.87","19.24M","-2.00%"
"2022년 04월 25일","51.94","51.45","51.98","50.54","18.68M","1.13%"
"2022년 04월 22일","51.36","52.92","52.96","51.29","17.69M","-2.69%"
