"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 24일","155.63","157.29","157.97","152.92","2.81M","-2.14%"
"2022년 05월 23일","159.04","156.61","159.56","156.02","2.67M","3.78%"
"2022년 05월 20일","153.24","154.35","154.80","149.71","2.98M","-0.49%"
"2022년 05월 19일","154.00","153.57","156.46","153.25","2.77M","-1.35%"
"2022년 05월 18일","156.10","160.79","160.85","155.40","2.69M","-3.55%"
"2022년 05월 17일","161.85","161.07","162.76","158.40","2.92M","3.46%"
"2022년 05월 16일","156.43","157.41","158.74","154.32","2.75M","-1.46%"
"2022년 05월 13일","158.75","155.96","160.09","155.88","3.33M","3.58%"
"2022년 05월 12일","153.27","155.60","157.15","149.88","5.01M","-3.84%"
"2022년 05월 11일","159.39","161.73","164.94","159.04","2.63M","-1.51%"
"2022년 05월 10일","161.83","163.42","164.73","158.39","3.01M","0.50%"
"2022년 05월 09일","161.02","165.03","166.02","160.38","4.49M","-3.67%"
"2022년 05월 06일","167.15","169.17","169.99","165.01","3.13M","-2.26%"
"2022년 05월 05일","171.01","176.64","176.76","169.33","2.99M","-3.83%"
"2022년 05월 04일","177.82","172.22","178.17","171.20","2.93M","3.32%"
"2022년 05월 03일","172.11","173.00","174.00","170.32","3.01M","0.29%"
"2022년 05월 02일","171.62","174.65","174.88","167.51","3.87M","-1.77%"
"2022년 04월 29일","174.71","180.09","182.30","174.33","3.21M","-3.99%"
"2022년 04월 28일","181.98","180.35","183.89","177.61","2.70M","2.45%"
"2022년 04월 27일","177.63","177.66","179.41","175.50","4.09M","-0.57%"
"2022년 04월 26일","178.65","183.25","183.91","178.54","3.72M","-2.96%"
"2022년 04월 25일","184.10","180.03","184.22","178.00","4.39M","1.97%"
