"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 24일","191.52","195.79","196.27","188.80","718.08K","-2.77%"
"2022년 05월 23일","196.98","196.45","197.75","190.56","765.10K","1.22%"
"2022년 05월 20일","194.61","192.20","194.98","188.52","768.18K","1.80%"
"2022년 05월 19일","191.16","186.43","194.90","185.76","1.03M","1.64%"
"2022년 05월 18일","188.08","195.02","195.38","187.13","1.14M","-4.68%"
"2022년 05월 17일","197.32","199.23","199.23","194.68","755.96K","0.68%"
"2022년 05월 16일","195.99","196.81","197.76","193.88","554.98K","-1.11%"
"2022년 05월 13일","198.19","194.97","198.71","194.40","897.22K","2.87%"
"2022년 05월 12일","192.66","189.44","193.08","188.90","1.31M","0.57%"
"2022년 05월 11일","191.56","198.29","199.39","191.20","929.10K","-4.41%"
"2022년 05월 10일","200.40","201.93","202.75","194.36","1.06M","0.39%"
"2022년 05월 09일","199.63","205.00","206.50","198.97","1.57M","-2.67%"
"2022년 05월 06일","205.10","206.95","209.03","203.36","1.04M","-1.50%"
"2022년 05월 05일","208.23","211.18","212.76","205.48","1.35M","-2.06%"
"2022년 05월 04일","212.62","205.01","213.34","203.36","1.01M","3.70%"
"2022년 05월 03일","205.04","204.84","205.66","202.21","1.56M","-0.22%"
"2022년 05월 02일","205.50","203.03","207.30","202.29","1.51M","0.97%"
"2022년 04월 29일","203.52","204.25","208.25","202.58","2.17M","-1.36%"
"2022년 04월 28일","206.33","202.78","208.19","199.74","1.61M","2.95%"
"2022년 04월 27일","200.41","208.55","210.24","199.62","1.29M","-3.44%"
"2022년 04월 26일","207.56","212.16","212.16","206.85","1.46M","-2.74%"
"2022년 04월 25일","213.40","202.86","213.85","201.77","1.72M","4.81%"
