"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 20일","56.46","57.54","57.65","53.85","6.26M","0.70%"
"2022년 05월 19일","56.07","55.20","57.33","54.97","4.94M","0.43%"
"2022년 05월 18일","55.83","57.32","59.07","55.33","6.29M","-4.56%"
"2022년 05월 17일","58.50","56.68","58.67","56.58","5.97M","6.07%"
"2022년 05월 16일","55.15","55.19","56.21","54.67","3.79M","-1.83%"
"2022년 05월 13일","56.18","54.35","56.62","54.10","6.28M","6.04%"
"2022년 05월 12일","52.98","52.00","53.45","50.94","5.75M","2.34%"
"2022년 05월 11일","51.77","52.87","55.35","51.64","6.68M","-3.90%"
"2022년 05월 10일","53.87","52.10","54.92","51.41","10.67M","6.00%"
"2022년 05월 09일","50.82","53.55","54.60","50.57","7.72M","-7.82%"
"2022년 05월 06일","55.13","55.25","56.04","53.04","5.84M","-0.18%"
"2022년 05월 05일","55.23","57.80","57.91","54.35","8.61M","-6.26%"
"2022년 05월 04일","58.92","57.00","58.93","54.81","6.50M","4.26%"
"2022년 05월 03일","56.51","55.62","57.28","54.92","6.92M","1.60%"
"2022년 05월 02일","55.62","53.87","55.80","52.25","11.36M","6.74%"
"2022년 04월 29일","52.11","53.61","55.22","51.97","6.87M","-4.35%"
"2022년 04월 28일","54.48","52.50","54.99","51.60","6.43M","6.39%"
"2022년 04월 27일","51.21","50.83","52.82","50.60","4.76M","-0.29%"
"2022년 04월 26일","51.36","52.96","53.17","51.36","4.08M","-3.96%"
"2022년 04월 25일","53.48","51.45","53.53","51.07","4.32M","3.28%"
"2022년 04월 22일","51.78","53.20","53.63","51.56","5.46M","-2.78%"
