"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 27일","290.09","289.69","290.38","285.89","210.28K","1.62%"
"2022년 05월 26일","285.47","283.72","287.01","281.20","301.11K","0.87%"
"2022년 05월 25일","283.01","284.36","287.28","280.56","220.67K","-0.74%"
"2022년 05월 24일","285.11","287.19","287.19","280.69","261.88K","-1.47%"
"2022년 05월 23일","289.36","291.87","293.07","285.86","341.71K","0.72%"
"2022년 05월 20일","287.30","290.95","292.66","281.30","390.29K","-0.48%"
"2022년 05월 19일","288.69","282.87","289.29","282.87","420.45K","0.82%"
"2022년 05월 18일","286.34","290.19","291.47","285.52","610.12K","-2.19%"
"2022년 05월 17일","292.76","285.73","293.81","285.73","648.24K","4.06%"
"2022년 05월 16일","281.34","277.21","282.78","276.04","375.19K","1.03%"
"2022년 05월 13일","278.46","269.55","279.35","269.55","386.54K","3.42%"
"2022년 05월 12일","269.24","265.96","274.07","261.66","507.80K","0.70%"
"2022년 05월 11일","267.37","265.36","274.58","265.36","573.53K","-0.15%"
"2022년 05월 10일","267.76","261.58","268.14","256.77","685.20K","3.10%"
"2022년 05월 09일","259.70","264.95","265.41","257.80","533.35K","-3.68%"
"2022년 05월 06일","269.61","275.90","276.72","268.29","313.67K","-2.94%"
"2022년 05월 05일","277.78","285.13","287.80","273.16","476.08K","-3.09%"
"2022년 05월 04일","286.65","285.29","288.21","277.31","423.07K","0.63%"
"2022년 05월 03일","284.85","283.13","288.42","282.08","321.60K","0.82%"
"2022년 05월 02일","282.53","285.43","289.40","277.02","469.88K","-1.08%"
