마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,27746.04,23826.19,23894.09,21340.09
매출,27746.04,23826.19,23894.09,21340.09
기타 매출 총계,-,-,-,-
총매출원가,21530.81,18990.42,18646.01,16449.21
총 이익,6215.23,4835.77,5248.08,4890.88
총 영업비용,26108.57,22932.03,22636.82,20280.08
판매/일반/관리 비용 총계,4090.98,3293.11,3453.51,3365.77
연구 및 개발,-,-,-,-
감가상각/무형자산상각,557.77,534.43,464.72,451.99
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),-70.99,114.08,72.58,13.11
기타 영업비용 총계,-,-,-,-
영업 이익,1637.47,894.17,1257.27,1060.01
영업외이자수익(비용) 순계,568.35,58.41,75.17,225.98
자산처분이익(손실),-,-,-,-
기타비용 순계,203.61,17.39,28.91,93.02
세전당기순이익,2409.42,969.97,1361.35,1379.01
소득세충당금,567.51,214.1,69.89,299.76
세후당기순이익,1841.91,755.87,1291.45,1079.25
소액주주지분,-5.34,-3.88,-9.09,-2.73
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,1836.57,751.99,1282.36,1076.52
특별손익항목 총계,-,-,-,-13.3
순이익,1836.57,751.99,1282.36,1063.22
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,1836.57,751.99,1282.36,1076.52
희석화에 따른 조정,-,-,1.41,-
희석 당기순이익,1836.57,751.99,1282.36,1063.22
희석된 가중 평균 주식,339.72,338.39,340.52,343.12
특별손익항목 제외 희석주당순이익,5.41,2.22,3.77,3.14
주당배당금 - 발행 보통주,-,-,-,-
희석 정상주당순이익,5.33,2.89,4.19,3.07
